,order_id,task_id,task_type,XCOORD.,YCOORD.,AVAILABLE TIME,DUE DATE,READY TIME
0,0,0,0,52.530458,13.406356,0,480,0
1,3cb7ff0a-65be-4e99-ac98-43b94897426b,8ce1ac65-347e-4599-a19b-73d2a133288b,front_interior_cleaning,52.569313,13.314128,0,480,0
2,3cb7ff0a-65be-4e99-ac98-43b94897426b,4760d959-fb2c-4daf-a43a-371f44f21d90,stationary_charge,52.569313,13.314128,0,480,0
3,958a9407-a660-48e4-ae5d-a329bcc77dc8,0ae5945d-cdbb-4bf0-91f1-f0ccbc21f9bb,stationary_charge,52.50672,13.348205,0,480,0
4,958a9407-a660-48e4-ae5d-a329bcc77dc8,6dcc3e95-9090-46d5-a8e9-4998a72c4862,front_interior_cleaning,52.50672,13.348205,0,480,0
5,ba04dd91-9ec7-4777-a0dd-2fbffb299336,89b5705b-0d84-47e0-a886-cb0bd3eaeeb0,stationary_charge,52.534824,13.39704,0,480,0
6,ba04dd91-9ec7-4777-a0dd-2fbffb299336,c9402331-d91d-4bc8-a085-9a8fdd256f00,front_interior_cleaning,52.534824,13.39704,0,480,0
7,e476743f-8d9c-486e-88f2-62e014bcbe02,eacfef38-2a5a-44d9-a851-47356559e43d,stationary_charge,52.53381,13.403165,0,480,0
8,e476743f-8d9c-486e-88f2-62e014bcbe02,a0815eda-1a5a-4c6b-9855-561825633e60,front_interior_cleaning,52.53381,13.403165,0,480,0
9,7da431cf-2dd4-4b2a-9f1d-0c7bdc52307a,fc2495e3-13a9-4d8e-bd7c-d0f1046f2015,stationary_charge,52.5449,13.3914,0,480,0
10,7da431cf-2dd4-4b2a-9f1d-0c7bdc52307a,cade77e4-69ed-4e76-afc3-23f69f5a2c7d,front_interior_cleaning,52.5449,13.3914,0,480,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
