CUST_NO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,XCOORD_END,YCOORD_END,order_id,end_poi_id
0,13.406356,52.530458,0,0,480,0,13.406356,52.530458,order_0,order_0
1,13.208758,52.552728,17,0,80,17,13.2071662,52.5544517,order_9cff74c1-e67f-415c-8c2b-44b8bc339876,refuel_316
2,13.314128,52.569313,16,0,480,16,13.313786,52.569566,order_3cb7ff0a-65be-4e99-ac98-43b94897426b,stationary_charge_13
3,13.348205,52.50672,16,0,480,16,13.34816,52.506772,order_958a9407-a660-48e4-ae5d-a329bcc77dc8,stationary_charge_197
4,13.39704,52.534824,16,0,480,16,13.397123,52.534702,order_ba04dd91-9ec7-4777-a0dd-2fbffb299336,stationary_charge_552
5,13.403165,52.53381,16,0,480,16,13.403185,52.53382,order_e476743f-8d9c-486e-88f2-62e014bcbe02,stationary_charge_1528
6,13.3914,52.5449,16,0,480,16,13.39148,52.54518,order_7da431cf-2dd4-4b2a-9f1d-0c7bdc52307a,stationary_charge_1480
7,13.330321,52.490814,17,0,480,17,13.326757,52.491327,order_43561f9f-9efb-4ef1-ab72-1ea770ebc7a9,stationary_charge_133
8,13.364536,52.543435,17,0,470,17,13.3615435,52.5453216,order_470aa67f-168a-4aca-a42d-cba2e4d02204,refuel_296
9,13.3741595,52.507928,26,10,480,26,13.3740438,52.5077475,order_94ebb5a4-03bf-4fbb-86a9-b4850d48de1d,stationary_charge_840
10,13.3741595,52.507928,19,10,480,19,13.3766736,52.5004782,order_522b7fee-b885-4db2-9179-1110a9a62fad,refuel_225
