"date","count"
"2019-04-11","1"
"2019-04-15","1"
"2019-04-21","1"
"2019-04-25","1"
"2019-05-27","1"
"2019-06-20","1"
"2019-06-23","1"
"2019-06-30","1"
"2019-07-07","1"
"2019-07-12","1"
"2019-07-13","1"
"2019-07-15","1"
"2019-07-16","1"
"2019-07-19","1"
"2019-07-20","3"
"2019-07-24","1"
"2019-07-25","3"
"2019-07-26","1"
"2019-07-27","1"
"2019-07-29","1"
"2019-07-30","2"
"2019-07-31","3"
"2019-08-01","3"
"2019-08-02","1"
"2019-08-03","1"
"2019-08-04","2"
"2019-08-05","2"
"2019-08-08","1"
"2019-08-10","1"
"2019-08-12","1"
"2019-08-13","4"
"2019-08-16","1"
"2019-08-17","1"
"2019-08-22","1"
"2019-08-23","2"
"2019-08-24","1"
"2019-08-26","3"
"2019-08-27","2"
"2019-08-28","10"
"2019-08-29","6"
"2019-08-30","10"
"2019-08-31","3"
"2019-09-01","1"
"2019-09-02","2"
"2019-09-05","2"
"2019-09-06","5"
"2019-09-07","2"
"2019-09-08","7"
"2019-09-09","2"
"2019-09-10","2"
"2019-09-13","4"
"2019-09-14","2"
"2019-09-15","15"
"2019-09-17","1"
"2019-09-19","7"
"2019-09-20","2"
"2019-09-21","1"
"2019-09-22","1"
"2019-09-23","1"
"2019-09-25","1"
"2019-09-26","6"
"2019-09-28","1"
"2019-09-29","3"
"2019-09-30","2"
"2019-10-01","2"
"2019-10-02","2"
"2019-10-04","1"
"2019-10-09","1"
"2019-10-11","2"
"2019-10-13","3"
"2019-10-14","2"
"2019-10-15","3"
"2019-10-16","2"
"2019-10-17","7"
"2019-10-18","2"
"2019-10-19","1"
"2019-10-20","1"
"2019-10-21","5"
"2019-10-22","12"
"2019-10-23","3"
"2019-10-24","8"
"2019-10-25","3"
"2019-10-26","6"
"2019-10-27","1"
"2019-10-28","19"
"2019-10-29","4"
"2019-10-31","1"
"2019-11-01","3"
"2019-11-02","1"
"2019-11-04","2"
"2019-11-05","10"
"2019-11-06","2"
"2019-11-07","3"
"2019-11-08","3"
"2019-11-09","1"
"2019-11-10","1"
"2019-11-11","3"
"2019-11-12","2"
"2019-11-13","1"
"2019-11-14","2"
"2019-11-15","2"
"2019-11-16","1"
"2019-11-17","11"
"2019-11-18","6"
"2019-11-19","3"
"2019-11-20","5"
