"date","count"
"2019-04-04","15"
"2019-04-05","11"
"2019-04-06","17"
"2019-04-08","29"
"2019-04-09","4"
"2019-04-10","9"
"2019-04-11","15"
"2019-04-12","17"
"2019-04-13","12"
"2019-04-14","12"
"2019-04-15","13"
"2019-04-16","4"
"2019-04-17","6"
"2019-04-18","5"
"2019-04-19","19"
"2019-04-20","12"
"2019-04-21","17"
"2019-04-22","11"
"2019-04-23","1"
"2019-04-25","18"
"2019-04-26","1"
"2019-04-27","26"
"2019-04-28","8"
"2019-04-29","10"
"2019-04-30","4"
"2019-05-02","9"
"2019-05-03","10"
"2019-05-04","7"
"2019-05-05","11"
"2019-05-06","11"
"2019-05-07","1"
"2019-05-08","6"
"2019-05-09","3"
"2019-05-10","13"
"2019-05-11","14"
"2019-05-13","15"
"2019-05-14","2"
"2019-05-15","3"
"2019-05-16","11"
"2019-05-17","23"
"2019-05-18","24"
"2019-05-19","12"
"2019-05-20","13"
"2019-05-21","5"
"2019-05-22","1"
"2019-05-23","10"
"2019-05-24","7"
"2019-05-25","26"
"2019-05-26","20"
"2019-05-27","2"
"2019-05-29","4"
"2019-05-31","3"
"2019-06-02","11"
"2019-06-03","5"
"2019-06-05","3"
"2019-06-06","7"
"2019-06-07","12"
"2019-06-08","26"
"2019-06-09","15"
"2019-06-11","1"
"2019-06-12","5"
"2019-06-13","3"
"2019-06-14","5"
"2019-06-15","13"
"2019-06-16","13"
"2019-06-17","15"
"2019-06-18","5"
"2019-06-19","2"
"2019-06-20","13"
"2019-06-21","3"
"2019-06-22","21"
"2019-06-23","15"
"2019-06-24","7"
"2019-06-25","2"
"2019-06-26","4"
"2019-06-27","9"
"2019-06-28","11"
"2019-06-29","13"
"2019-06-30","15"
"2019-07-01","7"
"2019-07-02","5"
"2019-07-03","2"
"2019-07-04","3"
"2019-07-05","12"
"2019-07-06","30"
"2019-07-07","18"
"2019-07-08","16"
"2019-07-09","4"
"2019-07-10","3"
"2019-07-11","4"
"2019-07-12","5"
"2019-07-13","13"
"2019-07-14","27"
"2019-07-15","12"
"2019-07-16","3"
"2019-07-17","4"
"2019-07-18","8"
"2019-07-19","23"
"2019-07-20","28"
"2019-07-21","17"
"2019-07-22","10"
"2019-07-23","5"
"2019-07-24","12"
"2019-07-25","10"
"2019-07-26","13"
"2019-07-27","15"
"2019-07-28","18"
"2019-07-29","17"
"2019-07-30","5"
"2019-07-31","16"
"2019-08-01","19"
"2019-08-02","29"
"2019-08-03","15"
"2019-08-04","28"
"2019-08-05","7"
"2019-08-06","12"
"2019-08-07","9"
"2019-08-08","8"
"2019-08-09","24"
"2019-08-10","27"
"2019-08-11","26"
"2019-08-12","12"
"2019-08-13","4"
"2019-08-14","16"
"2019-08-15","16"
"2019-08-16","13"
"2019-08-17","26"
"2019-08-18","16"
"2019-08-19","13"
"2019-08-20","16"
"2019-08-21","7"
"2019-08-22","25"
"2019-08-23","17"
"2019-08-24","11"
"2019-08-25","14"
"2019-08-26","6"
"2019-08-27","6"
"2019-08-28","8"
"2019-08-29","6"
"2019-08-30","3"
"2019-08-31","14"
"2019-09-01","8"
"2019-09-02","12"
"2019-09-03","12"
"2019-09-04","13"
"2019-09-05","30"
"2019-09-06","14"
"2019-09-07","11"
"2019-09-08","20"
"2019-09-09","24"
"2019-09-10","16"
"2019-09-11","9"
"2019-09-12","13"
"2019-09-13","15"
"2019-09-14","29"
"2019-09-15","18"
"2019-09-16","29"
"2019-09-17","17"
"2019-09-18","19"
"2019-09-19","33"
"2019-09-20","22"
"2019-09-21","29"
"2019-09-22","36"
"2019-09-23","32"
"2019-09-24","18"
"2019-09-25","24"
"2019-09-26","4"
"2019-09-27","21"
"2019-09-28","29"
"2019-09-29","18"
"2019-09-30","40"
"2019-10-01","6"
"2019-10-02","18"
"2019-10-03","16"
"2019-10-04","36"
"2019-10-05","17"
"2019-10-06","18"
"2019-10-07","27"
"2019-10-08","18"
"2019-10-09","12"
"2019-10-10","5"
"2019-10-11","9"
"2019-10-12","29"
"2019-10-13","38"
"2019-10-14","36"
"2019-10-15","25"
"2019-10-16","35"
"2019-10-17","27"
"2019-10-18","18"
"2019-10-19","9"
"2019-10-20","13"
"2019-10-21","4"
"2019-10-22","7"
"2019-10-23","4"
"2019-10-24","27"
"2019-10-25","18"
"2019-10-26","22"
"2019-10-27","11"
"2019-10-28","27"
"2019-10-29","7"
"2019-10-30","14"
"2019-10-31","54"
"2019-11-01","48"
"2019-11-02","15"
"2019-11-03","4"
"2019-11-04","29"
"2019-11-05","38"
"2019-11-06","18"
"2019-11-07","23"
"2019-11-08","27"
"2019-11-09","52"
"2019-11-10","19"
"2019-11-11","25"
"2019-11-12","21"
"2019-11-13","52"
"2019-11-14","31"
"2019-11-15","49"
"2019-11-16","36"
"2019-11-17","49"
"2019-11-18","42"
"2019-11-19","30"
"2019-11-20","36"
"2019-11-21","38"
"2019-11-22","31"
"2019-11-23","19"
"2019-11-24","33"
"2019-11-25","19"
"2019-11-26","16"
"2019-11-27","24"
"2019-11-28","48"
"2019-11-29","3"
"2019-11-30","10"
"2019-12-01","37"
"2019-12-02","32"
"2019-12-03","16"
"2019-12-04","14"
"2019-12-05","18"
"2019-12-06","17"
"2019-12-07","15"
"2019-12-08","47"
"2019-12-09","35"
"2019-12-10","33"
"2019-12-11","27"
"2019-12-12","19"
"2019-12-13","15"
"2019-12-14","59"
"2019-12-15","23"
"2019-12-16","7"
"2019-12-17","23"
"2019-12-18","30"
"2019-12-19","30"
"2019-12-20","4"
"2019-12-21","1"
"2019-12-22","8"
"2019-12-23","2"
"2019-12-24","2"
"2019-12-25","44"
"2019-12-26","8"
"2019-12-27","11"
"2019-12-28","89"
"2019-12-29","1"
"2019-12-30","26"
"2019-12-31","21"
"2020-01-01","22"
"2020-01-02","60"
"2020-01-03","14"
"2020-01-04","42"
"2020-01-05","24"
"2020-01-06","19"
"2020-01-07","9"
"2020-01-08","22"
"2020-01-09","36"
"2020-01-10","63"
"2020-01-11","45"
"2020-01-12","24"
"2020-01-13","21"
"2020-01-14","31"
"2020-01-15","26"
"2020-01-16","17"
"2020-01-17","34"
"2020-01-18","21"
"2020-01-19","49"
"2020-01-20","26"
"2020-01-21","23"
"2020-01-22","40"
"2020-01-23","16"
"2020-01-24","7"
"2020-01-25","25"
"2020-01-26","33"
"2020-01-27","13"
"2020-01-28","15"
"2020-01-29","16"
"2020-01-30","20"
"2020-01-31","1"
"2020-02-01","17"
"2020-02-02","24"
"2020-02-03","21"
"2020-02-04","25"
"2020-02-05","34"
"2020-02-06","21"
"2020-02-07","111"
"2020-02-08","27"
"2020-02-09","11"
"2020-02-10","28"
"2020-02-11","20"
"2020-02-12","57"
"2020-02-13","35"
"2020-02-14","33"
"2020-02-15","66"
"2020-02-16","27"
"2020-02-17","15"
"2020-02-18","41"
"2020-02-19","94"
"2020-02-20","47"
"2020-02-21","39"
"2020-02-22","27"
"2020-02-23","39"
"2020-02-24","22"
"2020-02-25","50"
"2020-02-26","68"
"2020-02-27","40"
"2020-02-28","56"
"2020-02-29","45"
"2020-03-01","57"
"2020-03-02","52"
"2020-03-03","46"
"2020-03-04","82"
"2020-03-05","52"
"2020-03-06","47"
"2020-03-07","57"
"2020-03-08","37"
"2020-03-09","54"
"2020-03-10","55"
"2020-03-11","56"
"2020-03-12","10"
"2020-03-13","25"
"2020-03-14","56"
"2020-03-15","50"
"2020-03-16","39"
"2020-03-17","25"
"2020-03-18","51"
"2020-03-19","23"
"2020-03-20","10"
"2020-03-21","9"
"2020-03-22","8"
"2020-03-23","30"
"2020-03-24","12"
"2020-03-25","6"
"2020-03-26","7"
"2020-03-27","15"
"2020-03-28","17"
"2020-03-29","16"
"2020-03-30","8"
"2020-03-31","17"
"2020-04-01","11"
"2020-04-02","13"
"2020-04-03","7"
"2020-04-04","3"
"2020-04-05","14"
"2020-04-06","8"
"2020-04-07","5"
"2020-04-08","59"
"2020-04-09","13"
"2020-04-10","8"
"2020-04-11","17"
"2020-04-12","12"
"2020-04-13","24"
"2020-04-14","12"
"2020-04-15","19"
"2020-04-16","20"
"2020-04-17","7"
"2020-04-18","16"
"2020-04-19","4"
"2020-04-20","18"
"2020-04-21","9"
"2020-04-22","12"
"2020-04-23","21"
"2020-04-24","12"
"2020-04-25","6"
"2020-04-27","15"
"2020-04-28","12"
"2020-04-29","13"
"2020-04-30","19"
"2020-05-01","19"
"2020-05-02","16"
"2020-05-03","11"
"2020-05-04","19"
"2020-05-05","4"
"2020-05-06","7"
"2020-05-07","1"
"2020-05-08","1"
"2020-05-09","28"
"2020-05-10","1"
"2020-05-11","36"
"2020-05-12","30"
"2020-05-13","22"
"2020-05-14","19"
"2020-05-15","91"
"2020-05-16","109"
"2020-05-17","36"
"2020-05-18","3"
"2020-05-19","30"
"2020-05-20","26"
"2020-05-21","23"
"2020-05-22","23"
"2020-05-23","8"
"2020-05-24","27"
"2020-05-25","28"
"2020-05-26","23"
"2020-05-27","33"
"2020-05-28","46"
"2020-05-29","26"
"2020-05-30","1"
"2020-05-31","43"
"2020-06-01","51"
"2020-06-02","14"
"2020-06-03","22"
"2020-06-04","29"
"2020-06-05","24"
"2020-06-06","14"
"2020-06-07","18"
"2020-06-08","17"
"2020-06-09","18"
"2020-06-10","28"
"2020-06-11","24"
"2020-06-12","48"
"2020-06-13","14"
"2020-06-14","54"
"2020-06-15","62"
"2020-06-16","79"
"2020-06-17","120"
"2020-06-18","83"
"2020-06-19","111"
"2020-06-20","68"
"2020-06-21","75"
"2020-06-22","132"
"2020-06-23","121"
"2020-06-24","144"
"2020-06-25","95"
"2020-06-26","93"
"2020-06-27","77"
"2020-06-28","70"
"2020-06-29","122"
"2020-06-30","146"
"2020-07-01","128"
"2020-07-02","113"
"2020-07-03","105"
"2020-07-04","85"
"2020-07-05","66"
"2020-07-06","108"
"2020-07-07","100"
"2020-07-08","109"
"2020-07-09","146"
"2020-07-10","161"
"2020-07-11","75"
"2020-07-12","44"
"2020-07-13","170"
"2020-07-14","177"
"2020-07-15","99"
"2020-07-16","120"
"2020-07-17","136"
"2020-07-18","107"
"2020-07-19","55"
"2020-07-20","193"
"2020-07-21","133"
"2020-07-22","143"
"2020-07-23","64"
"2020-07-24","95"
"2020-07-25","73"
"2020-07-26","47"
"2020-07-27","92"
"2020-07-28","138"
"2020-07-29","66"
"2020-07-30","51"
"2020-07-31","37"
"2020-08-01","43"
"2020-08-02","17"
"2020-08-03","103"
"2020-08-04","49"
"2020-08-05","51"
"2020-08-06","41"
"2020-08-07","58"
"2020-08-08","43"
"2020-08-09","55"
"2020-08-10","50"
"2020-08-11","58"
"2020-08-12","45"
"2020-08-13","30"
"2020-08-14","53"
"2020-08-15","18"
"2020-08-16","38"
"2020-08-17","32"
"2020-08-18","43"
"2020-08-19","33"
