"date","count"
"2019-04-05",5
"2019-04-06",18
"2019-04-07",19
"2019-04-08",12
"2019-04-09",8
"2019-04-10",2
"2019-04-11",15
"2019-04-12",17
"2019-04-13",16
"2019-04-14",33
"2019-04-15",13
"2019-04-16",3
"2019-04-17",2
"2019-04-18",3
"2019-04-19",14
"2019-04-20",2
"2019-04-21",5
"2019-04-22",7
"2019-04-25",3
"2019-04-26",5
"2019-04-27",17
"2019-04-28",27
"2019-04-29",9
"2019-04-30",7
"2019-05-02",11
"2019-05-03",23
"2019-05-04",15
"2019-05-05",2
"2019-05-06",8
"2019-05-07",9
"2019-05-09",6
"2019-05-10",13
"2019-05-11",14
"2019-05-12",11
"2019-05-13",14
"2019-05-14",6
"2019-05-15",8
"2019-05-16",8
"2019-05-17",18
"2019-05-18",19
"2019-05-19",24
"2019-05-20",9
"2019-05-21",7
"2019-05-22",5
"2019-05-23",4
"2019-05-24",8
"2019-05-25",14
"2019-05-26",17
"2019-05-27",13
"2019-05-29",1
"2019-05-31",2
"2019-06-01",11
"2019-06-02",15
"2019-06-03",20
"2019-06-05",3
"2019-06-06",13
"2019-06-07",22
"2019-06-08",5
"2019-06-09",12
"2019-06-11",6
"2019-06-12",5
"2019-06-13",13
"2019-06-14",4
"2019-06-15",11
"2019-06-16",10
"2019-06-17",18
"2019-06-18",2
"2019-06-19",4
"2019-06-20",4
"2019-06-21",2
"2019-06-22",17
"2019-06-23",15
"2019-06-24",14
"2019-06-25",2
"2019-06-26",3
"2019-06-27",9
"2019-06-28",9
"2019-06-29",19
"2019-06-30",17
"2019-07-01",17
"2019-07-02",3
"2019-07-03",2
"2019-07-04",2
"2019-07-05",7
"2019-07-06",13
"2019-07-07",28
"2019-07-08",13
"2019-07-09",7
"2019-07-10",16
"2019-07-11",9
"2019-07-12",11
"2019-07-13",34
"2019-07-14",27
"2019-07-15",3
"2019-07-16",5
"2019-07-17",4
"2019-07-18",11
"2019-07-19",13
"2019-07-20",25
"2019-07-21",30
"2019-07-22",25
"2019-07-23",13
"2019-07-24",14
"2019-07-25",23
"2019-07-26",31
"2019-07-27",20
"2019-07-28",20
"2019-07-29",13
"2019-07-30",8
"2019-07-31",22
"2019-08-01",20
"2019-08-02",10
"2019-08-03",34
"2019-08-04",32
"2019-08-05",25
"2019-08-06",26
"2019-08-07",24
"2019-08-08",9
"2019-08-09",7
"2019-08-10",25
"2019-08-11",33
"2019-08-12",26
"2019-08-13",35
"2019-08-14",28
"2019-08-15",30
"2019-08-16",23
"2019-08-17",13
"2019-08-18",41
"2019-08-19",28
"2019-08-20",16
"2019-08-21",24
"2019-08-22",17
"2019-08-23",29
"2019-08-24",28
"2019-08-25",21
"2019-08-26",45
"2019-08-27",24
"2019-08-28",23
"2019-08-29",29
"2019-08-30",36
"2019-08-31",28
"2019-09-01",13
"2019-09-02",30
"2019-09-03",12
"2019-09-04",28
"2019-09-05",19
"2019-09-06",19
"2019-09-07",38
"2019-09-08",42
"2019-09-09",45
"2019-09-10",38
"2019-09-11",28
"2019-09-12",18
"2019-09-13",21
"2019-09-14",27
"2019-09-15",35
"2019-09-16",53
"2019-09-17",46
"2019-09-18",59
"2019-09-19",30
"2019-09-20",47
"2019-09-21",50
"2019-09-22",39
"2019-09-23",62
"2019-09-24",63
"2019-09-25",51
"2019-09-26",58
"2019-09-27",48
"2019-09-28",68
"2019-09-29",53
"2019-09-30",71
"2019-10-01",85
"2019-10-02",46
"2019-10-03",6
"2019-10-04",117
"2019-10-05",8
"2019-10-06",100
"2019-10-07",82
"2019-10-08",59
"2019-10-09",37
"2019-10-10",52
"2019-10-11",108
"2019-10-12",45
"2019-10-13",32
"2019-10-14",49
"2019-10-15",38
"2019-10-16",48
"2019-10-17",51
"2019-10-18",48
"2019-10-19",87
"2019-10-20",70
"2019-10-21",67
"2019-10-22",77
"2019-10-23",59
"2019-10-24",54
"2019-10-25",30
"2019-10-26",85
"2019-10-27",65
"2019-10-28",53
"2019-10-29",105
"2019-10-30",18
"2019-10-31",11
"2019-11-01",3
"2019-11-02",42
"2019-11-03",60
"2019-11-04",39
"2019-11-05",82
"2019-11-06",74
"2019-11-07",41
"2019-11-08",77
"2019-11-09",28
"2019-11-10",57
"2019-11-11",94
"2019-11-12",152
"2019-11-13",75
"2019-11-14",82
"2019-11-15",37
"2019-11-16",49
"2019-11-17",60
"2019-11-18",86
"2019-11-19",112
"2019-11-20",132
"2019-11-21",73
"2019-11-22",45
"2019-11-23",36
"2019-11-24",75
"2019-11-25",103
"2019-11-26",94
"2019-11-27",58
"2019-11-28",30
"2019-11-29",42
"2019-11-30",63
"2019-12-01",43
"2019-12-02",109
"2019-12-03",136
"2019-12-04",83
"2019-12-05",59
"2019-12-06",53
"2019-12-07",27
"2019-12-08",27
"2019-12-09",81
"2019-12-10",72
"2019-12-11",68
"2019-12-12",40
"2019-12-13",57
"2019-12-14",53
"2019-12-15",27
"2019-12-16",119
"2019-12-17",119
"2019-12-18",48
"2019-12-19",101
"2019-12-20",55
"2019-12-21",52
"2019-12-22",20
"2019-12-23",69
"2019-12-24",15
"2019-12-25",65
"2019-12-26",1
"2019-12-27",50
"2019-12-28",48
"2019-12-29",26
"2019-12-30",102
"2019-12-31",39
"2020-01-01",48
"2020-01-02",58
"2020-01-03",45
"2020-01-04",68
"2020-01-05",42
"2020-01-06",96
"2020-01-07",148
"2020-01-08",66
"2020-01-09",54
"2020-01-10",71
"2020-01-11",46
"2020-01-12",38
"2020-01-13",127
"2020-01-14",44
"2020-01-15",49
"2020-01-16",45
"2020-01-17",47
"2020-01-18",33
"2020-01-19",38
"2020-01-20",65
"2020-01-21",93
"2020-01-22",59
"2020-01-23",61
"2020-01-24",91
"2020-01-25",35
"2020-01-26",5
"2020-01-27",78
"2020-01-28",51
"2020-01-29",104
"2020-01-30",72
"2020-01-31",65
"2020-02-01",36
"2020-02-02",25
"2020-02-03",135
"2020-02-04",94
"2020-02-05",82
"2020-02-06",67
"2020-02-07",531
"2020-02-08",114
"2020-02-09",39
"2020-02-10",118
"2020-02-11",120
"2020-02-12",100
"2020-02-13",79
"2020-02-14",71
"2020-02-15",40
"2020-02-16",97
"2020-02-17",82
"2020-02-18",177
"2020-02-19",154
"2020-02-20",78
"2020-02-21",77
"2020-02-22",55
"2020-02-23",76
"2020-02-24",129
"2020-02-25",114
"2020-02-26",132
"2020-02-27",104
"2020-02-28",99
"2020-02-29",55
"2020-03-01",87
"2020-03-02",139
"2020-03-03",95
"2020-03-04",70
"2020-03-05",88
"2020-03-06",131
"2020-03-07",69
"2020-03-08",45
"2020-03-09",125
"2020-03-10",113
"2020-03-11",58
"2020-03-12",85
"2020-03-13",84
"2020-03-14",20
"2020-03-15",41
"2020-03-16",96
"2020-03-17",105
"2020-03-18",108
"2020-03-19",158
"2020-03-20",85
"2020-03-21",13
"2020-03-22",27
"2020-03-23",79
"2020-03-24",72
"2020-03-25",80
"2020-03-26",73
"2020-03-27",63
"2020-03-28",35
"2020-03-29",17
"2020-03-30",70
"2020-03-31",65
"2020-04-01",71
"2020-04-02",75
"2020-04-03",74
"2020-04-04",42
"2020-04-05",16
"2020-04-06",80
"2020-04-07",158
"2020-04-08",235
"2020-04-09",136
"2020-04-10",61
"2020-04-11",57
"2020-04-12",32
"2020-04-13",61
"2020-04-14",165
"2020-04-15",211
"2020-04-16",175
"2020-04-17",103
"2020-04-18",36
"2020-04-19",18
"2020-04-20",61
"2020-04-21",129
"2020-04-22",162
"2020-04-23",76
"2020-04-24",54
"2020-04-25",33
"2020-04-26",26
"2020-04-27",63
"2020-04-28",59
"2020-04-29",55
"2020-04-30",66
"2020-05-01",43
"2020-05-02",50
"2020-05-03",42
"2020-05-04",84
"2020-05-05",142
"2020-05-06",277
"2020-05-07",179
"2020-05-08",106
"2020-05-09",56
"2020-05-10",140
"2020-05-11",123
"2020-05-12",191
"2020-05-13",189
"2020-05-14",246
"2020-05-15",299
"2020-05-16",138
"2020-05-17",107
"2020-05-18",205
"2020-05-19",212
"2020-05-20",205
"2020-05-21",129
"2020-05-22",191
"2020-05-23",104
"2020-05-24",128
"2020-05-25",190
"2020-05-26",200
"2020-05-27",214
"2020-05-28",177
"2020-05-29",171
"2020-05-30",127
"2020-05-31",99
"2020-06-01",95
"2020-06-02",257
"2020-06-03",284
"2020-06-04",229
"2020-06-05",231
"2020-06-06",111
"2020-06-07",162
"2020-06-08",232
"2020-06-09",240
"2020-06-10",331
"2020-06-11",267
"2020-06-12",190
"2020-06-13",116
"2020-06-14",116
"2020-06-15",183
"2020-06-16",280
"2020-06-17",346
"2020-06-18",337
"2020-06-19",318
"2020-06-20",207
"2020-06-21",200
"2020-06-22",297
"2020-06-23",449
"2020-06-24",385
"2020-06-25",385
"2020-06-26",377
"2020-06-27",205
"2020-06-28",264
"2020-06-29",332
"2020-06-30",310
"2020-07-01",603
"2020-07-02",663
"2020-07-03",873
"2020-07-04",312
"2020-07-05",215
"2020-07-06",272
"2020-07-07",612
"2020-07-08",369
"2020-07-09",311
"2020-07-10",296
"2020-07-11",207
"2020-07-12",256
"2020-07-13",300
"2020-07-14",321
"2020-07-15",326
"2020-07-16",324
"2020-07-17",333
"2020-07-18",183
"2020-07-19",206
"2020-07-20",351
"2020-07-21",421
"2020-07-22",258
"2020-07-23",263
"2020-07-24",242
"2020-07-25",121
"2020-07-26",125
"2020-07-27",327
"2020-07-28",288
"2020-07-29",325
"2020-07-30",292
"2020-07-31",281
"2020-08-01",120
"2020-08-02",174
"2020-08-03",260
"2020-08-04",441
"2020-08-05",377
"2020-08-06",309
"2020-08-07",265
"2020-08-08",186
"2020-08-09",160
"2020-08-10",275
"2020-08-11",324
"2020-08-12",363
"2020-08-13",311
"2020-08-14",373
"2020-08-15",265
"2020-08-16",235
"2020-08-17",316
"2020-08-18",351
"2020-08-19",25
