task_type,absolute,relative
interior_cleaning,45722,29.58299634434344
stationary_charge,45217,29.256251819740548
relocation,15401,9.964737472097312
refuel,10301,6.6649412830384005
exterior_cleaning,8802,5.69506001099932
front_interior_cleaning,8300,5.370256542978228
general_inspection,2564,1.6589563585778524
car_wash,2361,1.527611529876096
shuttle,1916,1.2396881369091908
washer_fluid_check,1896,1.2267477596971952
mobile_charge,1693,1.0954029309954385
pickup,1521,0.9841156869722752
trailer_unload,1521,0.9841156869722752
trailer_load,1519,0.9828216492510757
general_inspection_back_relocation,1478,0.9562938759664845
out_of_business_area,986,0.6379605965513895
unknown,800,0.5176150884798292
truck_wash,617,0.39921063699006826
battery_swap,395,0.2555724499369157
quick_check,392,0.2536313933551163
helmet_check,392,0.2536313933551163
trash_removal,392,0.2536313933551163
tire_check,288,0.18634143185273852
airport_relocation,21,0.013587396072595515
other,11,0.0071172074665976515
promo,9,0.005823169745398079
found_object,9,0.005823169745398079
inter_city_relocation_ams_denh,7,0.004529132024198505
unwrap,5,0.0032350943029989324
inter_city_relocation_rtm_denh,5,0.0032350943029989324
task_addition,4,0.002588075442399146
unplug,4,0.002588075442399146
inter_city_relocation_ams_rtm,3,0.0019410565817993596
car_shutdown,1,0.0006470188605997865
graffiti_removal,1,0.0006470188605997865
quick_repair,1,0.0006470188605997865
