,interval,time,initial_cost,final_cost,idle_time,tour_length,runtime,total_iterations,last_improvement,operator_performance,initial_tour,final_tour
0,15,0,2210.2809399955413,1809.9352654870167,0,144.95346995900036,502.07464027404785,572,470,"{'two-opt': 0, 'three-opt': 232, 'two-opt-star': 340}","[[0, 44, 32, 34, 40, 45, 21, 20, 47, 22, 7, 3, 27, 30, 0], [0, 28, 33, 26, 29, 42, 9, 10, 11, 12, 13, 41, 23, 46, 24, 39, 0], [0, 36, 37, 1, 48, 2, 14, 18, 6, 0], [0, 35, 38, 15, 19, 16, 25, 0], [0, 5, 4, 43, 8, 17, 31, 0]]","[[0, 44, 32, 34, 40, 23, 21, 47, 20, 22, 7, 26, 3, 9, 13, 10, 30, 0], [0, 35, 33, 1, 12, 11, 27, 41, 45, 46, 24, 39, 0], [0, 36, 37, 28, 48, 31, 42, 29, 2, 14, 18, 17, 8, 6, 25, 16, 5, 0], [0, 4, 43, 38, 15, 19, 0]]"
1,15,15,1813.0513425722488,1812.2595572569421,0,144.293338706133,300.31888246536255,384,129,"{'two-opt': 0, 'three-opt': 186, 'two-opt-star': 198}","[[0, 35, 33, 1, 12, 11, 27, 41, 45, 46, 24, 39, 0], [0, 36, 37, 28, 48, 31, 42, 29, 2, 14, 18, 17, 8, 6, 25, 16, 5, 0], [0, 4, 43, 38, 15, 19, 0], [0, 44, 32, 34, 40, 23, 21, 47, 20, 22, 7, 26, 3, 9, 13, 10, 30, 49, 0]]","[[0, 35, 33, 1, 14, 18, 12, 11, 27, 49, 41, 45, 46, 24, 39, 0], [0, 36, 37, 28, 48, 31, 42, 29, 2, 17, 8, 6, 5, 0], [0, 4, 43, 38, 15, 19, 16, 25, 0], [0, 44, 32, 34, 40, 23, 21, 47, 20, 22, 7, 26, 3, 9, 13, 10, 30, 0]]"
2,15,30,2218.7048451575456,2218.7048451575456,0,156.14687944488134,4280.747187376022,357,0,"{'two-opt': 0, 'three-opt': 150, 'two-opt-star': 207}","[[0, 35, 33, 1, 14, 18, 12, 11, 27, 49, 41, 45, 46, 24, 39, 0], [0, 36, 37, 28, 48, 31, 42, 29, 2, 17, 8, 6, 5, 0], [0, 4, 43, 38, 15, 19, 16, 25, 0], [0, 44, 32, 34, 40, 23, 21, 47, 20, 22, 7, 26, 3, 9, 13, 10, 30, 0], [0, 50, 0]]","[[0, 35, 33, 1, 14, 18, 12, 11, 27, 49, 41, 45, 46, 24, 39, 0], [0, 36, 37, 28, 48, 31, 42, 29, 2, 17, 8, 6, 5, 0], [0, 4, 43, 38, 15, 19, 16, 25, 0], [0, 44, 32, 34, 40, 23, 21, 47, 20, 22, 7, 26, 3, 9, 13, 10, 30, 0], [0, 50, 0]]"
3,15,45,2235.28627955156,2235.28627955156,0,161.5093038470313,3216.408809900284,357,0,"{'two-opt': 0, 'three-opt': 115, 'two-opt-star': 242}","[[0, 35, 33, 1, 14, 18, 12, 11, 27, 49, 41, 45, 46, 24, 39, 0], [0, 4, 43, 38, 15, 19, 16, 25, 0], [0, 44, 32, 34, 40, 23, 21, 47, 20, 22, 7, 26, 3, 9, 13, 10, 30, 0], [0, 50, 51, 0], [0, 36, 37, 28, 48, 31, 42, 29, 2, 17, 8, 6, 5, 52, 0]]","[[0, 35, 33, 1, 14, 18, 12, 11, 27, 49, 41, 45, 46, 24, 39, 0], [0, 4, 43, 38, 15, 19, 16, 25, 0], [0, 44, 32, 34, 40, 23, 21, 47, 20, 22, 7, 26, 3, 9, 13, 10, 30, 0], [0, 50, 51, 0], [0, 36, 37, 28, 48, 31, 42, 29, 2, 17, 8, 6, 5, 52, 0]]"
4,15,60,2253.282861766986,2253.1245284336524,0,167.8406161062713,1298.3056898117065,362,158,"{'two-opt': 0, 'three-opt': 80, 'two-opt-star': 282}","[[0, 35, 33, 1, 14, 18, 12, 11, 27, 49, 41, 45, 46, 24, 39, 0], [0, 4, 43, 38, 15, 19, 16, 25, 0], [0, 44, 32, 34, 40, 23, 21, 47, 20, 22, 7, 26, 3, 9, 13, 10, 30, 0], [0, 36, 37, 28, 48, 31, 42, 29, 2, 17, 8, 6, 5, 52, 0], [0, 50, 51, 53, 54, 0]]","[[0, 35, 33, 1, 14, 18, 12, 11, 27, 49, 41, 45, 46, 24, 39, 0], [0, 4, 43, 38, 15, 19, 16, 25, 0], [0, 44, 32, 34, 40, 23, 21, 47, 20, 22, 7, 26, 3, 9, 13, 10, 30, 0], [0, 36, 37, 28, 48, 31, 42, 29, 2, 17, 8, 6, 5, 52, 54, 53, 0], [0, 50, 51, 0]]"
5,15,75,2659.569816334256,2659.070095542635,0,178.1160911872695,256.9596767425537,379,175,"{'two-opt': 0, 'three-opt': 122, 'two-opt-star': 257}","[[0, 35, 33, 1, 14, 18, 12, 11, 27, 49, 41, 45, 46, 24, 39, 0], [0, 4, 43, 38, 15, 19, 16, 25, 0], [0, 44, 32, 34, 40, 23, 21, 47, 20, 22, 7, 26, 3, 9, 13, 10, 30, 0], [0, 36, 37, 28, 48, 31, 42, 29, 2, 17, 8, 6, 5, 52, 54, 53, 0], [0, 50, 51, 0], [0, 55, 0]]","[[0, 35, 33, 1, 14, 18, 12, 11, 27, 49, 41, 45, 46, 24, 39, 0], [0, 4, 43, 38, 15, 19, 16, 25, 6, 5, 0], [0, 44, 32, 34, 40, 23, 21, 47, 20, 22, 7, 26, 3, 9, 13, 10, 30, 0], [0, 36, 37, 28, 48, 31, 42, 29, 2, 8, 17, 53, 52, 54, 0], [0, 50, 51, 0], [0, 55, 0]]"
6,15,90,2669.0470000403175,2269.0183410250347,0,188.5316032369506,293.93157982826233,476,425,"{'two-opt': 0, 'three-opt': 147, 'two-opt-star': 329}","[[0, 35, 33, 1, 14, 18, 12, 11, 27, 49, 41, 45, 46, 24, 39, 0], [0, 4, 43, 38, 15, 19, 16, 25, 6, 5, 0], [0, 44, 32, 34, 40, 23, 21, 47, 20, 22, 7, 26, 3, 9, 13, 10, 30, 0], [0, 36, 37, 28, 48, 31, 42, 29, 2, 8, 17, 53, 52, 54, 0], [0, 55, 56, 0], [0, 50, 51, 57, 0]]","[[0, 35, 33, 1, 26, 27, 9, 12, 11, 13, 10, 49, 30, 53, 0], [0, 4, 43, 38, 19, 57, 6, 15, 2, 14, 18, 8, 17, 52, 32, 16, 25, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 7, 20, 22, 47, 21, 23, 46, 54, 0], [0, 55, 0], [0, 50, 51, 56, 44, 34, 24, 40, 41, 45, 39, 5, 0]]"
7,15,105,2276.6565932894864,2272.9291912017143,0,192.8816564264655,4084.4348559379578,420,216,"{'two-opt': 0, 'three-opt': 117, 'two-opt-star': 303}","[[0, 35, 33, 1, 26, 27, 9, 12, 11, 13, 10, 49, 30, 53, 0], [0, 4, 43, 38, 19, 57, 6, 15, 2, 14, 18, 8, 17, 52, 32, 16, 25, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 7, 20, 22, 47, 21, 23, 46, 54, 0], [0, 50, 51, 56, 44, 34, 24, 40, 41, 45, 39, 5, 0], [0, 55, 58, 0]]","[[0, 35, 33, 1, 58, 26, 20, 49, 30, 9, 12, 13, 10, 53, 0], [0, 4, 43, 38, 19, 57, 6, 15, 2, 14, 18, 17, 8, 5, 25, 16, 32, 24, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 11, 27, 7, 22, 47, 21, 23, 46, 39, 0], [0, 50, 51, 56, 44, 34, 40, 45, 41, 54, 52, 0], [0, 55, 0]]"
8,15,120,3156.7967148794614,2750.413103800693,9.036838216217447,232.130720764869,7255.448910951614,451,335,"{'two-opt': 0, 'three-opt': 156, 'two-opt-star': 295}","[[0, 35, 33, 1, 58, 26, 20, 49, 30, 9, 12, 13, 10, 53, 0], [0, 4, 43, 38, 19, 57, 6, 15, 2, 14, 18, 17, 8, 5, 25, 16, 32, 24, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 11, 27, 7, 22, 47, 21, 23, 46, 39, 0], [0, 50, 51, 56, 44, 34, 40, 45, 41, 54, 52, 0], [0, 55, 63, 66, 64, 71, 0], [0, 61, 70, 75, 76, 72, 74, 0], [0, 68, 62, 65, 67, 69, 73, 59, 60, 0]]","[[0, 35, 33, 1, 58, 26, 47, 76, 20, 70, 27, 3, 11, 9, 12, 13, 53, 0], [0, 4, 43, 38, 19, 57, 6, 15, 2, 14, 18, 17, 8, 59, 52, 71, 16, 25, 5, 0], [0, 36, 37, 28, 48, 31, 42, 29, 7, 22, 75, 21, 23, 46, 24, 39, 0], [0, 50, 51, 56, 44, 34, 32, 40, 45, 41, 49, 30, 54, 0], [0, 55, 63, 66, 64, 61, 10, 0], [0, 68, 62, 65, 67, 69, 73, 72, 74, 60, 0]]"
9,15,135,3157.8742505851274,2753.988020659673,9.036838216217447,235.91993189849114,5781.897166967392,389,185,"{'two-opt': 0, 'three-opt': 144, 'two-opt-star': 245}","[[0, 35, 33, 1, 58, 26, 47, 76, 20, 70, 27, 3, 11, 9, 12, 13, 53, 0], [0, 4, 43, 38, 19, 57, 6, 15, 2, 14, 18, 17, 8, 59, 52, 71, 16, 25, 5, 0], [0, 36, 37, 28, 48, 31, 42, 29, 7, 22, 75, 21, 23, 46, 24, 39, 0], [0, 50, 51, 56, 44, 34, 32, 40, 45, 41, 49, 30, 54, 0], [0, 55, 63, 66, 64, 61, 10, 0], [0, 68, 62, 65, 67, 69, 73, 72, 74, 60, 0], [0, 77, 0]]","[[0, 35, 33, 1, 58, 26, 47, 76, 20, 70, 27, 3, 11, 72, 0], [0, 4, 43, 38, 19, 57, 6, 15, 2, 14, 18, 17, 8, 59, 52, 71, 16, 25, 5, 0], [0, 36, 37, 28, 48, 31, 42, 29, 7, 77, 22, 75, 21, 23, 46, 41, 24, 39, 0], [0, 50, 51, 56, 44, 34, 32, 40, 45, 49, 54, 0], [0, 55, 63, 66, 64, 61, 9, 13, 12, 10, 53, 0], [0, 68, 62, 65, 67, 69, 73, 74, 60, 30, 0]]"
