,CUST_NO,SERVICETIME,order_id,end_poi_id,VISITED,SCHEDULED_TIME,SCHEDULED_TOUR
0,0,0,order_0,order_0,False,,
1,1,7,order_8db8845b-b1d1-4351-aea1-105826ce0989,stationary_charge_854,False,212.72274207801595,1.0
2,2,17,order_b8f28e83-9681-4478-9353-3fd730de65b0,stationary_charge_1470,False,8.716191764845973,0.0
3,3,18,order_79d4cb2b-2b73-4d6a-91e6-594496eb1cb9,stationary_charge_312,False,399.2519972109688,2.0
4,4,17,order_a6fb0b7c-68f8-4119-9488-0622c78cce50,stationary_charge_1534,False,267.6549208333841,1.0
5,5,19,order_9f17e425-8b89-42e0-8a9e-9249950a4f7e,stationary_charge_364,False,398.9804702016947,1.0
6,6,18,order_fad7c006-78b3-48da-9096-c9e7bd4d8b92,refuel_63,False,23.065761065582464,5.0
7,7,51,order_f1996d09-23d1-439a-8d45-3dfd8ad640e7,stationary_charge_204,False,286.4873831716814,1.0
8,8,53,order_cbab0256-6ea4-414b-920f-026462c48b92,wash_8,False,81.02124364422394,5.0
9,9,56,order_86a3fd8c-70e4-45ae-8e3b-189de257e4bc,wash_13,False,152.75684449959377,1.0
10,10,19,order_aed98a35-9788-445f-9c2e-10035c508754,refuel_225,False,192.44080615800493,0.0
11,11,19,order_469aabec-3290-4be6-bb3b-73d4859d1c8d,refuel_225,False,112.43618583197713,4.0
12,12,19,order_e8017f91-5692-4082-ad7b-1c4776892948,refuel_225,False,213.13263835887494,0.0
13,13,19,order_0d237ffc-0fac-4b1c-a28e-ff07a0bdf4c7,refuel_225,False,233.82447055974495,0.0
14,14,19,order_ad74ba2b-a1a6-4f61-93e7-f52114d05385,refuel_225,False,346.4764333598007,0.0
15,15,19,order_73c7e5f7-fa3c-4235-abcb-d549db927b19,refuel_225,False,367.1682655606707,0.0
16,16,19,order_56f59093-4ccb-4f02-a0bd-5256ec853014,refuel_225,False,387.8600977615407,0.0
17,17,19,order_3a771327-1921-4ede-8474-95702f7af761,refuel_225,False,450.9615570401796,2.0
18,18,19,order_8e48ac1c-3b4c-449c-bebb-3f9363646d20,refuel_225,False,23.87441252314241,3.0
19,19,19,order_45683863-8059-4d37-aadc-c784823ed554,refuel_225,False,44.56624472401241,3.0
20,20,19,order_6584a3c1-e483-45e6-96bd-426683e1d96c,refuel_225,False,65.2580769248824,3.0
21,21,19,order_87cec91a-9df7-4667-87f9-26dc7292cae8,refuel_225,False,85.9499091257524,3.0
22,22,19,order_1ccac8d9-e78d-4b76-81c2-7e1b7db3ff0b,refuel_225,False,106.6417413266224,3.0
23,23,19,order_02dec101-c76d-4037-bcfb-2ab391a468b8,refuel_225,False,127.33357352749239,3.0
24,24,19,order_79715b05-eece-4c01-88b3-41c4f417a0f8,refuel_225,False,148.0254057283624,3.0
25,25,19,order_c1e97745-0e48-4c3f-ae5d-b59576823086,refuel_225,False,168.7172379292324,3.0
26,26,26,order_d305f7b5-4c17-41f5-9733-03b8cd95561e,stationary_charge_840,False,189.4090701301024,3.0
27,27,26,order_4ad66678-b080-4342-a06d-4974815a9798,stationary_charge_830,False,215.4521705241246,3.0
