CUST_NO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,XCOORD_END,YCOORD_END,order_id,end_poi_id
0,13.406356,52.530458,0,0,480,0,13.406356,52.530458,order_0,order_0
1,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_c467913d-c6db-4c1b-90c3-495d278bba17,refuel_225
2,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_ac6a1f6d-7345-4102-9382-1e2af093d869,stationary_charge_840
3,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_991917df-5dfb-40c7-b315-9ba188034955,refuel_225
4,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_a0faeb88-a25c-40e1-bcd8-1050b804e787,refuel_225
5,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_df96635c-0c5e-4228-b2f9-02d89afd6bea,refuel_225
6,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_0eae56dc-80ba-4e76-be3a-a9555fc87301,refuel_225
7,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_c32d0d73-6839-49ed-94b4-63c7535064e3,refuel_225
8,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_637030b3-2bc4-46e5-af45-a6f854c9a524,refuel_225
9,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_4eaac94d-fcce-4272-9114-eb16c3a30330,refuel_225
10,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_09d7d486-36aa-4d19-bec6-102b7d94b32c,refuel_225
11,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_a70d0040-5c6f-4d97-b7e3-2644058a21bf,refuel_225
12,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_02301dea-3104-40e8-8ff7-32dd15a3dee7,refuel_225
13,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_95ace685-ee0a-4669-bb7e-7f74ee5aa2f6,refuel_225
14,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_2d6409f0-3207-46af-a121-71f6c27a5691,refuel_225
15,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_060ad8a9-80df-4f25-ac7e-e14fbd12c642,refuel_225
16,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_0f7de587-aa2b-4eee-9253-b7b9c3da267f,refuel_225
17,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_27a6ca47-e918-4fcf-88c1-ccaaff4639b2,refuel_225
18,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_0a151612-aadf-4230-b8cc-c43e20909669,refuel_225
19,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_0c43103d-9221-4ef9-927b-efb19b19b50b,refuel_225
20,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_9266debc-9bde-4632-a8b5-9ee27fd90c21,refuel_225
21,13.29404867,52.48426429999999,20,0,41,20,13.3091456,52.492408600000005,order_7df9c776-af0d-42e8-9528-d4eb9e7b33a4,refuel_183
22,13.440929,52.454531,17,0,176,17,13.4364253,52.4569978,order_5b41c7b2-9f19-4fe8-88a3-f0753c6bda38,refuel_297
23,13.430685,52.47106,17,0,480,17,13.430204999999999,52.468458999999996,order_a0f86ed0-96f6-4d00-b3f3-b8e7930307ea,stationary_charge_1309
24,13.4258,52.49282,17,0,480,17,13.423135,52.492143000000006,order_83bb4b4a-22d7-4195-a1df-a51199d28fae,stationary_charge_1048
25,13.41574,52.49559,23,0,480,23,13.413538,52.493476,order_c2cd836e-a79e-4a89-b0ca-f1f9f4dad7c8,stationary_charge_1427
26,13.395343,52.510963,17,0,480,17,13.396763,52.511309,order_e7480859-74dd-42b5-b6d8-dd1a28fbc972,stationary_charge_1283
27,13.419274,52.505672,16,0,480,16,13.419379000000001,52.505621,order_f9272d2a-a841-4b82-bcc4-4b4256c132ac,stationary_charge_1414
28,13.363307999999998,52.490612,18,0,480,18,13.361265842327834,52.4913001350724,order_11c5e7d5-cd24-425f-b2ad-7180257d3237,stationary_charge_935
29,13.384754999999998,52.458088,17,0,480,17,13.384967999999999,52.459663,order_8bb6531f-feff-4a76-aabb-2f43335a62a4,stationary_charge_434
30,13.530062,52.429527,16,0,480,16,13.530083634918261,52.42953358512161,order_cbfac063-cf02-4575-baee-32d363bfc8dc,stationary_charge_802
31,13.382142000000002,52.51372152,21,0,480,21,13.3766736,52.5004782,order_7e2cfded-587a-4305-babc-d77f2e207560,refuel_225
32,13.387544,52.45950799999999,19,0,26,19,13.397094899999999,52.4586228,order_623aa2b2-4fd7-4c52-a292-f4297f97b28f,refuel_314
33,13.51367225,52.38918508,25,0,42,25,13.4869155,52.4225335,order_be9960bd-3578-45c1-abfa-77b40de1d20e,refuel_275
34,13.51387096,52.38914005,25,0,236,25,13.4869155,52.4225335,order_4eec27a5-7e3d-444d-bc8e-661440d679ed,refuel_275
35,13.51398891,52.38920767,25,0,161,25,13.4869155,52.4225335,order_cd87dcc5-c5f5-4b32-97a0-7fd9eb94d883,refuel_275
36,13.51376913,52.38923365,25,0,147,25,13.4869155,52.4225335,order_45afb3c0-5035-42f6-ae24-4ddb6f9ddc11,refuel_275
37,13.51384347,52.38911681,24,0,41,24,13.4869155,52.4225335,order_389fd8de-2708-4197-928d-a508f38143ad,refuel_275
38,13.51396819,52.38967608,25,0,221,25,13.4869155,52.4225335,order_48d915f5-fe83-481c-8d22-a1969effcb0d,refuel_275
39,13.372241,52.546715,51,0,480,51,13.348013199999999,52.57882320000001,order_ed3b3629-6259-4f98-9787-d83cf7ed78a7,wash_13
40,13.375693,52.53722,53,0,480,53,13.348013199999999,52.57882320000001,order_17ef793d-cdd0-42ca-a439-a468a277119f,wash_13
41,13.3762641,52.50762536,19,0,206,19,13.3766736,52.5004782,order_cc348259-46e2-4612-9e57-34de0192dee3,refuel_225
42,13.337947,52.571514,44,0,480,44,13.348013199999999,52.57882320000001,order_6d5a52ed-82a9-452f-838d-8e1b3f6bf7c0,wash_13
43,13.402843,52.52817,48,0,480,48,13.4251111,52.512168599999995,order_3dd8ffb0-216b-4f0e-89f5-21fdbda2bc58,wash_11
44,13.393609,52.540848,51,0,480,51,13.4251111,52.512168599999995,order_d368bae9-297a-44dc-ad53-30e24a60189a,wash_11
45,13.42781,52.54015,50,0,480,50,13.4251111,52.512168599999995,order_dfaca134-2319-4d60-ae5d-6344d97a2ee3,wash_11
46,13.372672,52.56813,18,0,480,18,13.373829999999998,52.56268000000001,order_e2b12295-375e-4a2c-9349-dea8182823a2,stationary_charge_1116
47,13.53248943,52.48326685,20,0,161,20,13.5245151668958,52.4949072068054,order_71c36407-15ae-424f-9cbe-3aae37605f54,refuel_129
48,13.386082,52.520644,22,0,146,22,13.3755439152807,52.5374691459754,order_08c10288-7a49-4300-9ee1-9d2c889096c2,refuel_42
49,13.417401000000002,52.537283,21,0,56,21,13.417998800000001,52.528696200000006,order_81328005-63df-48a4-8a74-323fff49177a,refuel_263
50,13.328762,52.56631,46,0,480,46,13.306432999999998,52.57751,order_07122874-2fda-4767-ab17-d2a19b5ccb90,wash_20
51,13.320818,52.467058,19,0,480,19,13.3110209,52.468268200000004,order_e9103d38-cf2c-412b-ba9e-e334c3d71449,refuel_196
52,13.361159,52.495671,16,0,266,16,13.360249999999949,52.49468,order_86805b94-0ae6-431a-809b-7b60669c10c9,stationary_charge_454
53,13.34723301,52.57052021,18,0,480,18,13.3358283,52.5646652,order_fab96266-93e7-46e4-a8c7-c02d0e8d12b6,refuel_191
