,CUST_NO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,XCOORD_END,YCOORD_END,order_id,end_poi_id
0,0,52.530458,13.406356,0,0,480,0,52.530458,13.406356,order_0,order_0
1,1,52.50672,13.348205,16,0,480,16,52.506772,13.34816,order_3cb7ff0a-65be-4e99-ac98-43b94897426b,stationary_charge_13
2,2,52.534824,13.39704,16,0,480,16,52.53470369090075,13.397081720237772,order_958a9407-a660-48e4-ae5d-a329bcc77dc8,stationary_charge_197
3,3,52.53381,13.403165,16,0,480,16,52.53382,13.403185,order_ba04dd91-9ec7-4777-a0dd-2fbffb299336,stationary_charge_552
4,4,52.5449,13.3914,16,0,480,16,52.545027,13.391727,order_e476743f-8d9c-486e-88f2-62e014bcbe02,stationary_charge_1528
5,5,52.490814,13.330321,16,0,480,16,52.490939,13.330472,order_7da431cf-2dd4-4b2a-9f1d-0c7bdc52307a,stationary_charge_1480
6,6,52.507928,13.37416,17,0,480,17,52.5077475,13.3740438,order_43561f9f-9efb-4ef1-ab72-1ea770ebc7a9,stationary_charge_133
7,7,52.507928,13.37416,26,0,480,26,52.5077475,13.3740438,order_94ebb5a4-03bf-4fbb-86a9-b4850d48de1d,stationary_charge_840
8,8,52.507928,13.37416,19,0,480,19,52.5077475,13.3740438,order_522b7fee-b885-4db2-9179-1110a9a62fad,refuel_225
9,9,52.507928,13.37416,19,0,480,19,52.5004782,13.3766736,order_b2406c1d-4d53-4d70-925e-d796939f3d2f,refuel_225
10,10,52.548916,13.45583,26,0,480,26,52.548972,13.455833,order_6c2a0a55-b254-498b-94ab-71500e75bb71,stationary_charge_830
11,11,52.54299,13.356388,26,0,480,26,52.53955,13.356310000000008,order_1827e25a-77cb-4cfd-8af0-db88a497e12e,stationary_charge_840
12,12,52.471645,13.333472,16,0,480,16,52.471535,13.333625,order_c411ec6d-85c8-485c-b99e-272a4b4114b2,stationary_charge_481
13,13,52.440086,13.38698,18,0,480,18,52.44014,13.386994,order_9e5c1256-131e-46d6-b5d6-2e63784938a8,stationary_charge_1115
14,14,52.471703,13.328078,17,0,480,17,52.471708,13.328003,order_98059750-d7e6-446c-bd9a-b9a6ca2e2415,stationary_charge_7
15,15,52.45614,13.449663,16,0,480,16,52.455367,13.4481,order_15fe99b1-ef85-4a69-8cd9-f884c8cd0b90,stationary_charge_119
16,16,52.49719,13.450125,16,0,480,16,52.497774,13.448166,order_de5feefd-b052-4733-a7b6-b1c26ebe575a,stationary_charge_29
17,17,52.548923,13.41235,18,0,480,18,52.548538,13.412197,order_dcf3e066-76aa-4604-af04-98ab3c955dab,stationary_charge_1583
18,18,52.500385,13.3092,17,0,480,17,52.50146666837505,13.305672739915847,order_bc8f4f23-c6e3-4315-b424-e93c10e4d9e1,stationary_charge_1050
19,19,52.49876,13.35949,16,0,480,16,52.49857468491536,13.3595153619019,order_b4e8a1b6-e5b5-4c2e-9ca2-f1c68d9df585,stationary_charge_585
20,20,52.513363,13.281557,16,0,480,16,52.513191,13.281518,order_e818319e-3c3b-4d94-b4cb-3e89bbab84f8,stationary_charge_227
21,21,52.525494,13.323442,16,0,480,16,52.525441,13.323449,order_e652d924-cce0-45de-9aa3-e23a019d6b68,stationary_charge_575
22,22,52.499863,13.39491,19,0,480,19,52.49985,13.39489,order_8c1d1ccf-ad3e-44cc-9ff4-3fdb29ab6232,stationary_charge_228
23,23,52.51127,13.493957,18,0,480,18,52.51127,13.493957,order_d5abfa66-6ed8-4b5b-920d-46fcf58bb5fe,stationary_charge_1263
24,24,52.49443,13.444159,17,0,480,17,52.4971705,13.4497838,order_1d860b03-203c-4e46-8594-ed95d41c5a12,stationary_charge_110
25,25,52.48059,13.455573,16,0,480,16,52.48059,13.455573,order_3e7e8c86-83bc-4d27-b68e-8880e0156913,stationary_charge_567
26,26,52.472713,13.435021,16,0,480,16,52.472713,13.435021,order_1d760297-8753-4b31-888a-e0c8527e3dbf,stationary_charge_717
27,27,52.46961,13.462519,45,0,480,45,52.46961,13.462519,order_97fbbe26-5d34-4d2b-a7ff-ca257be71e70,wash_4
28,28,52.48833,13.349552,51,0,480,51,52.488368,13.349555,order_08d1023b-5b5d-447e-92de-5b2da8273592,wash_11
29,29,52.515068,13.450772,49,0,480,49,52.515183,13.450787,order_44c02606-bd08-46a1-bd7a-a092cccc439b,wash_12
30,30,52.52866,13.378798,44,0,480,44,52.528994,13.378528,order_c93ef13c-8daa-4d31-8612-38fe5f072280,wash_12
31,31,52.440166,13.301363,43,0,480,43,52.442574,13.302274,order_16265f48-a99d-4f9b-8d03-4aaaba8ff0b7,wash_12
32,32,52.535145,13.470096,46,0,480,46,52.53514499999999,13.470096,order_2a95f52c-bdf6-46ad-9faa-414edf734791,wash_12
33,33,52.5786,13.428682,47,33,480,47,52.58555,13.4211,order_8b3c1a01-ef2e-4890-93c8-7c7295f4d895,wash_11
34,34,52.458004,13.2917,47,33,480,47,52.457986,13.291687,order_8490f2d8-ca01-4951-94cc-1511d6a4ad3b,wash_11
35,35,52.5375,13.424745,49,58,480,49,52.5375,13.424745,order_b978c191-7a1a-4668-a7c2-2a4ba27a8373,wash_11
36,36,52.52442,13.316347,52,58,480,52,52.52441999999999,13.316347,order_5f8805e1-2679-41a5-ad4b-667040579fe7,wash_11
