,SERVICETIME,SCHEDULED_TIME,DUE_TIME,TIME_CHECK,SCHEDULED_TOUR
0,0,,480,False,
1,17,27.19,80,True,1.0
2,16,121.33,480,True,2.0
3,16,520.39,480,False,1.0
4,16,557.59,480,False,2.0
5,16,545.96,480,False,1.0
6,16,342.47,480,True,2.0
7,17,161.07,480,True,1.0
8,17,292.79,470,True,2.0
9,26,357.89,480,True,1.0
10,19,457.72,480,True,1.0
11,19,436.03,480,True,1.0
12,26,383.93,480,True,1.0
13,26,409.99,480,True,1.0
14,19,82.8,350,True,2.0
15,19,73.03,140,True,0.0
16,16,26.09,480,True,2.0
17,18,273.35,480,True,2.0
18,17,101.88,480,True,2.0
19,16,51.69,480,True,2.0
20,16,239.92,480,True,1.0
21,18,265.98,480,True,1.0
22,17,221.94,480,True,1.0
23,16,293.84,480,True,1.0
24,16,465.58,480,True,0.0
25,16,4.19,480,True,2.0
26,19,137.94,480,True,1.0
27,18,480.08,480,False,1.0
28,17,116.23,480,True,1.0
29,16,251.42,480,True,2.0
30,16,338.55,480,True,1.0
31,18,102.7,110,True,0.0
32,45,215.48,480,True,0.0
33,18,53.62,50,False,1.0
34,16,169.77,155,False,0.0
35,18,10.4,20,True,0.0
36,17,77.74,65,False,1.0
37,19,96.12,95,False,1.0
38,19,29.42,65,True,0.0
39,51,482.5,480,False,0.0
40,49,270.35,480,True,0.0
41,44,365.73,480,True,0.0
42,18,233.3,275,True,2.0
43,17,53.17,65,True,0.0
44,21,193.05,185,False,0.0
45,43,320.86,480,True,0.0
46,46,412.52,480,True,0.0
47,20,190.37,320,True,1.0
48,19,142.23,261,True,2.0
49,16,320.68,480,True,1.0
50,17,20.0,35,True,3.0
51,47,46.46,480,True,3.0
52,47,501.41,480,False,3.0
53,49,334.81,480,True,3.0
54,52,125.16,480,True,3.0
55,17,100.56,80,False,3.0
56,23,129.56,95,False,0.0
57,19,172.96,140,False,2.0
58,16,96.0,110,True,4.0
59,51,131.79,480,True,4.0
60,46,180.42,480,True,3.0
61,23,200.1,170,False,2.0
62,18,252.99,231,False,4.0
63,20,192.18,140,False,4.0
64,21,216.72,155,False,4.0
65,18,277.04,155,False,4.0
66,19,111.0,125,True,5.0
67,19,316.21,260,False,2.0
68,18,163.73,170,True,5.0
69,20,201.21,260,True,5.0
70,16,500.3,480,False,1.0
71,16,139.97,480,True,5.0
72,17,253.76,480,True,5.0
73,18,225.52,480,True,5.0
74,16,271.57,480,True,5.0
75,16,285.19,480,True,3.0
76,18,266.05,480,True,3.0
77,16,240.95,215,False,3.0
78,50,447.04,480,True,3.0
79,49,390.09,480,True,3.0
80,16,318.38,260,False,3.0
81,23,289.54,230,False,5.0
82,18,438.23,275,False,5.0
83,17,315.37,480,True,5.0
84,18,395.94,260,False,5.0
85,21,345.8,230,False,5.0
86,18,418.8,410,False,5.0
87,18,376.66,480,True,5.0
88,48,613.54,480,False,5.0
89,52,470.21,480,True,5.0
90,23,527.96,395,False,5.0
91,19,387.2,320,False,2.0
92,18,245.0,275,True,6.0
93,19,493.76,480,False,2.0
94,20,525.84,480,False,2.0
95,16,268.99,480,True,6.0
96,17,468.31,425,False,2.0
97,49,561.46,480,False,5.0
98,53,300.15,480,True,6.0
99,20,419.51,480,True,2.0
100,54,447.16,480,True,6.0
101,51,509.13,480,False,6.0
102,21,443.03,380,False,2.0
103,17,399.98,480,True,6.0
104,19,371.74,365,False,6.0
105,17,421.91,425,True,6.0
106,19,578.42,480,False,6.0
107,20,605.9,425,False,6.0
