,SERVICETIME,SCHEDULED_TIME,DUE_TIME,TIME_CHECK,SCHEDULED_TOUR
0,0,410.5,480,True,3.0
1,17,104.81,80,False,3.0
2,16,139.96,480,True,2.0
3,16,223.42,480,True,2.0
4,16,17.72,480,True,2.0
5,16,0.86,480,True,2.0
6,16,36.12,480,True,2.0
7,17,137.34,480,True,5.0
8,17,26.73,470,True,5.0
9,26,263.14,480,True,2.0
10,19,289.18,480,True,2.0
11,19,309.87,480,True,2.0
12,26,330.56,480,True,2.0
13,26,356.62,480,True,2.0
14,19,118.48,350,True,2.0
15,19,73.78,140,True,2.0
16,16,334.72,480,True,4.0
17,18,44.6,480,True,5.0
18,17,100.09,480,True,2.0
19,16,79.12,480,True,4.0
20,16,176.69,480,True,5.0
21,18,202.75,480,True,5.0
22,17,158.71,480,True,5.0
23,16,321.42,480,True,5.0
24,16,251.64,480,True,4.0
25,16,4.19,480,True,5.0
26,19,114.21,480,True,5.0
27,18,241.77,480,True,2.0
28,17,92.5,480,True,5.0
29,16,202.08,480,True,2.0
30,16,385.95,480,True,2.0
31,18,66.84,110,True,5.0
32,45,274.53,480,True,4.0
33,18,47.12,50,True,3.0
34,16,37.14,155,True,4.0
35,18,10.4,20,True,1.0
36,17,71.24,65,False,3.0
37,19,122.89,95,False,4.0
38,19,10.35,65,True,3.0
39,51,408.73,480,True,2.0
40,49,390.36,480,True,5.0
41,44,230.58,480,True,5.0
42,18,183.96,275,True,2.0
43,17,53.92,65,True,2.0
44,21,9.88,185,True,4.0
45,43,276.09,480,True,5.0
46,46,340.65,480,True,5.0
47,20,155.29,320,True,4.0
48,19,160.86,261,True,2.0
49,16,45.9,480,True,1.0
50,17,20.0,35,True,3.0
51,47,46.46,480,True,3.0
52,47,199.89,480,True,4.0
53,49,298.27,480,True,3.0
54,52,99.77,480,True,3.0
55,17,66.0,80,True,6.0
56,23,94.31,95,True,6.0
57,19,131.58,140,True,6.0
58,16,96.0,110,True,7.0
59,51,131.79,480,True,7.0
60,46,186.05,480,True,7.0
61,23,157.51,170,True,3.0
62,18,243.28,231,False,7.0
63,20,111.0,140,True,9.0
64,21,135.54,155,True,9.0
65,18,111.0,155,True,8.0
66,19,111.0,125,True,0.0
67,19,222.55,260,True,0.0
68,18,163.73,170,True,0.0
69,20,201.21,260,True,0.0
70,16,259.52,480,True,3.0
71,16,139.97,480,True,0.0
72,17,495.73,480,False,0.0
73,18,521.42,480,False,0.0
74,16,492.89,480,False,4.0
75,16,232.64,480,True,3.0
76,18,213.5,480,True,3.0
77,16,188.4,215,True,3.0
78,50,410.5,480,True,3.0
79,49,353.55,480,True,3.0
80,16,281.84,260,False,3.0
81,23,254.51,230,False,0.0
82,18,295.52,275,False,0.0
83,17,430.87,480,True,0.0
84,18,216.0,260,True,11.0
85,21,216.0,230,True,10.0
86,18,315.0,410,True,0.0
87,18,340.21,480,True,0.0
88,48,240.31,480,True,10.0
89,52,370.09,480,True,0.0
90,23,463.88,395,False,4.0
91,19,314.75,320,True,10.0
92,18,245.0,275,True,12.0
93,19,365.71,480,True,12.0
94,20,358.27,480,True,4.0
95,16,339.75,480,True,10.0
96,17,282.98,425,True,12.0
97,49,388.97,480,True,4.0
98,53,302.34,480,True,12.0
99,20,363.48,480,True,10.0
100,54,288.0,480,True,14.0
101,51,349.96,480,True,14.0
102,21,386.99,380,False,10.0
103,17,388.58,480,True,12.0
104,19,335.0,365,True,13.0
105,17,441.73,425,False,4.0
106,19,458.85,480,True,0.0
107,20,418.65,425,True,14.0
