,costs_per_driver,costs_per_hour,initial_cost,final_cost,idle_time,tour_length,vehicle_number,runtime,total_iterations,last_improvement,operator_performance,initial_tour,final_tour
0,400,9.5,5503.633333333332,4490.1931724306805,58.74937534886149,632.1051516675516,10,683.8198957443237,657,587,"{'two-opt': 0, 'three-opt': 81, 'two-opt-star': 576}","[[0, 36, 37, 1, 48, 96, 102, 104, 7, 106, 99, 26, 3, 0], [0, 66, 63, 34, 84, 85, 88, 0], [0, 50, 40, 45, 21, 77, 20, 75, 91, 47, 92, 76, 95, 22, 70, 27, 83, 30, 0], [0, 51, 55, 41, 23, 46, 89, 0], [0, 35, 38, 67, 15, 65, 69, 62, 94, 19, 101, 0], [0, 81, 80, 90, 0], [0, 52, 64, 24, 39, 79, 0], [0, 29, 33, 58, 28, 107, 72, 103, 0], [0, 25, 16, 68, 82, 86, 100, 0], [0, 5, 4, 6, 43, 57, 31, 42, 98, 2, 18, 73, 14, 17, 8, 93, 74, 0], [0, 59, 61, 13, 11, 12, 9, 10, 49, 54, 60, 97, 0], [0, 56, 53, 71, 44, 32, 87, 78, 105, 0]]","[[0, 36, 55, 66, 64, 13, 9, 77, 92, 91, 51, 23, 20, 99, 106, 0], [0, 19, 34, 41, 54, 76, 0], [0, 50, 40, 45, 7, 46, 69, 47, 28, 90, 0], [0, 59, 61, 53, 85, 84, 30, 93, 89, 94, 105, 0], [0, 52, 39, 24, 67, 27, 72, 82, 0], [0, 29, 33, 37, 58, 63, 62, 2, 70, 74, 10, 83, 87, 71, 98, 0], [0, 25, 6, 43, 42, 31, 57, 8, 17, 14, 12, 80, 26, 73, 49, 88, 100, 0], [0, 5, 4, 38, 15, 16, 68, 65, 18, 60, 79, 104, 102, 96, 103, 107, 0], [0, 35, 48, 1, 3, 11, 21, 22, 0], [0, 56, 44, 32, 78, 81, 75, 95, 86, 97, 101, 0]]"
1,400,15.0,5503.633333333332,4514.784373396196,107.2122155395884,698.6568297836692,10,631.3276529312134,653,625,"{'two-opt': 0, 'three-opt': 82, 'two-opt-star': 571}","[[0, 36, 37, 1, 48, 96, 102, 104, 7, 106, 99, 26, 3, 0], [0, 66, 63, 34, 84, 85, 88, 0], [0, 50, 40, 45, 21, 77, 20, 75, 91, 47, 92, 76, 95, 22, 70, 27, 83, 30, 0], [0, 51, 55, 41, 23, 46, 89, 0], [0, 35, 38, 67, 15, 65, 69, 62, 94, 19, 101, 0], [0, 81, 80, 90, 0], [0, 52, 64, 24, 39, 79, 0], [0, 29, 33, 58, 28, 107, 72, 103, 0], [0, 25, 16, 68, 82, 86, 100, 0], [0, 5, 4, 6, 43, 57, 31, 42, 98, 2, 18, 73, 14, 17, 8, 93, 74, 0], [0, 59, 61, 13, 11, 12, 9, 10, 49, 54, 60, 97, 0], [0, 56, 53, 71, 44, 32, 87, 78, 105, 0]]","[[0, 36, 37, 2, 54, 70, 16, 0], [0, 48, 1, 31, 63, 68, 59, 84, 0], [0, 50, 52, 66, 27, 40, 81, 80, 3, 72, 88, 98, 0], [0, 51, 24, 55, 10, 46, 41, 89, 100, 104, 0], [0, 35, 25, 38, 67, 15, 39, 12, 92, 91, 76, 73, 101, 0], [0, 33, 26, 58, 78, 30, 77, 14, 90, 97, 6, 83, 107, 0], [0, 21, 34, 22, 49, 61, 8, 17, 42, 7, 95, 75, 96, 20, 103, 105, 106, 0], [0, 5, 4, 43, 57, 64, 65, 13, 28, 74, 82, 23, 11, 93, 99, 0], [0, 32, 47, 44, 29, 62, 69, 45, 79, 86, 87, 0], [0, 56, 53, 60, 9, 85, 71, 19, 94, 18, 102, 0]]"
2,400,30.0,5503.633333333332,4495.307371368011,15.548128695153366,592.9161691847667,10,1288.316865682602,637,535,"{'two-opt': 0, 'three-opt': 67, 'two-opt-star': 570}","[[0, 36, 37, 1, 48, 96, 102, 104, 7, 106, 99, 26, 3, 0], [0, 66, 63, 34, 84, 85, 88, 0], [0, 50, 40, 45, 21, 77, 20, 75, 91, 47, 92, 76, 95, 22, 70, 27, 83, 30, 0], [0, 51, 55, 41, 23, 46, 89, 0], [0, 35, 38, 67, 15, 65, 69, 62, 94, 19, 101, 0], [0, 81, 80, 90, 0], [0, 52, 64, 24, 39, 79, 0], [0, 29, 33, 58, 28, 107, 72, 103, 0], [0, 25, 16, 68, 82, 86, 100, 0], [0, 5, 4, 6, 43, 57, 31, 42, 98, 2, 18, 73, 14, 17, 8, 93, 74, 0], [0, 59, 61, 13, 11, 12, 9, 10, 49, 54, 60, 97, 0], [0, 56, 53, 71, 44, 32, 87, 78, 105, 0]]","[[0, 36, 37, 1, 48, 65, 2, 17, 76, 47, 92, 91, 99, 102, 90, 11, 106, 0], [0, 66, 63, 34, 41, 85, 24, 74, 70, 23, 19, 101, 0], [0, 50, 40, 49, 39, 26, 77, 27, 18, 45, 87, 88, 0], [0, 51, 55, 46, 64, 81, 80, 52, 97, 104, 103, 3, 107, 0], [0, 35, 0], [0, 29, 33, 7, 28, 58, 69, 25, 21, 14, 0], [0, 15, 38, 13, 10, 61, 59, 60, 84, 86, 96, 98, 0], [0, 5, 4, 43, 6, 42, 31, 57, 12, 73, 8, 78, 72, 9, 83, 20, 94, 0], [0, 68, 54, 79, 82, 71, 89, 100, 105, 0], [0, 16, 44, 56, 32, 62, 30, 67, 75, 22, 53, 93, 95, 0]]"
3,0,9.5,703.6333333333333,509.69963514058526,64.0166230792364,629.4812371945443,10,566.3886194229126,625,536,"{'two-opt': 0, 'three-opt': 90, 'two-opt-star': 535}","[[0, 36, 37, 1, 48, 96, 102, 104, 7, 106, 99, 26, 3, 0], [0, 66, 63, 34, 84, 85, 88, 0], [0, 50, 40, 45, 21, 77, 20, 75, 91, 47, 92, 76, 95, 22, 70, 27, 83, 30, 0], [0, 51, 55, 41, 23, 46, 89, 0], [0, 35, 38, 67, 15, 65, 69, 62, 94, 19, 101, 0], [0, 81, 80, 90, 0], [0, 52, 64, 24, 39, 79, 0], [0, 29, 33, 58, 28, 107, 72, 103, 0], [0, 25, 16, 68, 82, 86, 100, 0], [0, 5, 4, 6, 43, 57, 31, 42, 98, 2, 18, 73, 14, 17, 8, 93, 74, 0], [0, 59, 61, 13, 11, 12, 9, 10, 49, 54, 60, 97, 0], [0, 56, 53, 71, 44, 32, 87, 78, 105, 0]]","[[0, 36, 37, 1, 48, 5, 32, 84, 9, 76, 26, 102, 104, 75, 95, 106, 0], [0, 66, 63, 34, 13, 11, 85, 80, 24, 20, 98, 88, 0], [0, 50, 40, 16, 25, 59, 41, 27, 7, 91, 0], [0, 10, 6, 55, 45, 64, 77, 81, 82, 21, 94, 73, 100, 0], [0, 35, 17, 38, 14, 3, 60, 69, 62, 78, 83, 28, 99, 101, 0], [0, 43, 22, 31, 8, 15, 42, 0], [0, 39, 54, 61, 71, 18, 19, 0], [0, 29, 33, 58, 67, 68, 79, 97, 70, 93, 30, 49, 103, 107, 0], [0, 51, 44, 57, 72, 46, 23, 47, 92, 74, 4, 12, 90, 0], [0, 56, 53, 65, 2, 52, 96, 89, 86, 87, 105, 0]]"
4,0,15.0,703.6333333333333,503.34166666666664,48.53562875720044,586.2053165863265,10,594.5343611240387,617,566,"{'two-opt': 0, 'three-opt': 66, 'two-opt-star': 551}","[[0, 36, 37, 1, 48, 96, 102, 104, 7, 106, 99, 26, 3, 0], [0, 66, 63, 34, 84, 85, 88, 0], [0, 50, 40, 45, 21, 77, 20, 75, 91, 47, 92, 76, 95, 22, 70, 27, 83, 30, 0], [0, 51, 55, 41, 23, 46, 89, 0], [0, 35, 38, 67, 15, 65, 69, 62, 94, 19, 101, 0], [0, 81, 80, 90, 0], [0, 52, 64, 24, 39, 79, 0], [0, 29, 33, 58, 28, 107, 72, 103, 0], [0, 25, 16, 68, 82, 86, 100, 0], [0, 5, 4, 6, 43, 57, 31, 42, 98, 2, 18, 73, 14, 17, 8, 93, 74, 0], [0, 59, 61, 13, 11, 12, 9, 10, 49, 54, 60, 97, 0], [0, 56, 53, 71, 44, 32, 87, 78, 105, 0]]","[[0, 36, 1, 37, 9, 79, 12, 78, 27, 96, 104, 102, 99, 106, 0], [0, 66, 61, 52, 84, 87, 2, 94, 100, 0], [0, 50, 34, 40, 45, 23, 24, 47, 91, 92, 95, 88, 93, 105, 0], [0, 51, 55, 49, 63, 68, 44, 13, 10, 82, 19, 0], [0, 35, 38, 15, 53, 62, 69, 5, 16, 41, 86, 73, 18, 101, 0], [0, 25, 7, 30, 65, 67, 59, 11, 89, 20, 76, 3, 103, 107, 0], [0, 31, 48, 46, 64, 0], [0, 29, 33, 28, 58, 26, 77, 21, 75, 81, 80, 83, 22, 97, 98, 0], [0, 6, 42, 54, 60, 39, 85, 0], [0, 4, 43, 8, 17, 56, 57, 74, 32, 70, 72, 71, 14, 90, 0]]"
5,0,30.0,703.6333333333333,493.88237136801115,24.678289429520987,561.3848429459255,10,776.4090600013733,699,648,"{'two-opt': 0, 'three-opt': 85, 'two-opt-star': 614}","[[0, 36, 37, 1, 48, 96, 102, 104, 7, 106, 99, 26, 3, 0], [0, 66, 63, 34, 84, 85, 88, 0], [0, 50, 40, 45, 21, 77, 20, 75, 91, 47, 92, 76, 95, 22, 70, 27, 83, 30, 0], [0, 51, 55, 41, 23, 46, 89, 0], [0, 35, 38, 67, 15, 65, 69, 62, 94, 19, 101, 0], [0, 81, 80, 90, 0], [0, 52, 64, 24, 39, 79, 0], [0, 29, 33, 58, 28, 107, 72, 103, 0], [0, 25, 16, 68, 82, 86, 100, 0], [0, 5, 4, 6, 43, 57, 31, 42, 98, 2, 18, 73, 14, 17, 8, 93, 74, 0], [0, 59, 61, 13, 11, 12, 9, 10, 49, 54, 60, 97, 0], [0, 56, 53, 71, 44, 32, 87, 78, 105, 0]]","[[0, 15, 38, 1, 48, 65, 62, 19, 69, 51, 3, 99, 102, 104, 95, 7, 106, 0], [0, 11, 45, 34, 66, 63, 26, 85, 84, 82, 71, 97, 103, 13, 0], [0, 50, 0], [0, 35, 36, 37, 0], [0, 40, 55, 49, 9, 64, 12, 23, 79, 83, 27, 93, 100, 0], [0, 52, 54, 68, 46, 22, 67, 21, 76, 70, 96, 88, 0], [0, 29, 33, 28, 58, 53, 44, 80, 86, 32, 89, 4, 72, 107, 0], [0, 5, 43, 6, 42, 31, 57, 18, 2, 73, 14, 8, 10, 17, 25, 87, 90, 94, 0], [0, 59, 30, 61, 74, 81, 47, 91, 92, 16, 60, 98, 0], [0, 56, 41, 20, 75, 77, 78, 24, 39, 101, 105, 0]]"
6,10,9.5,823.6333333333334,595.4098987504458,90.81501355198006,628.9415098928962,10,500.11067724227905,593,573,"{'two-opt': 0, 'three-opt': 60, 'two-opt-star': 533}","[[0, 36, 37, 1, 48, 96, 102, 104, 7, 106, 99, 26, 3, 0], [0, 66, 63, 34, 84, 85, 88, 0], [0, 50, 40, 45, 21, 77, 20, 75, 91, 47, 92, 76, 95, 22, 70, 27, 83, 30, 0], [0, 51, 55, 41, 23, 46, 89, 0], [0, 35, 38, 67, 15, 65, 69, 62, 94, 19, 101, 0], [0, 81, 80, 90, 0], [0, 52, 64, 24, 39, 79, 0], [0, 29, 33, 58, 28, 107, 72, 103, 0], [0, 25, 16, 68, 82, 86, 100, 0], [0, 5, 4, 6, 43, 57, 31, 42, 98, 2, 18, 73, 14, 17, 8, 93, 74, 0], [0, 59, 61, 13, 11, 12, 9, 10, 49, 54, 60, 97, 0], [0, 56, 53, 71, 44, 32, 87, 78, 105, 0]]","[[0, 36, 1, 48, 3, 6, 52, 85, 100, 74, 2, 73, 106, 107, 0], [0, 34, 7, 56, 30, 63, 68, 0], [0, 50, 40, 45, 70, 20, 77, 75, 47, 92, 21, 96, 102, 104, 86, 0], [0, 51, 55, 41, 64, 72, 14, 79, 90, 83, 27, 99, 28, 105, 0], [0, 35, 38, 32, 12, 67, 62, 54, 46, 4, 97, 94, 0], [0, 39, 49, 18, 15, 65, 44, 26, 24, 23, 9, 78, 87, 0], [0, 29, 33, 58, 69, 8, 60, 81, 76, 88, 93, 101, 103, 0], [0, 5, 43, 37, 17, 42, 13, 10, 53, 80, 0], [0, 59, 61, 11, 82, 84, 89, 91, 95, 98, 0], [0, 31, 16, 57, 66, 25, 19, 22, 71, 0]]"
7,10,15.0,823.6333333333334,613.9672293832516,25.447763700958312,640.0507701203467,11,9942.943445920944,626,612,"{'two-opt': 0, 'three-opt': 66, 'two-opt-star': 560}","[[0, 36, 37, 1, 48, 96, 102, 104, 7, 106, 99, 26, 3, 0], [0, 66, 63, 34, 84, 85, 88, 0], [0, 50, 40, 45, 21, 77, 20, 75, 91, 47, 92, 76, 95, 22, 70, 27, 83, 30, 0], [0, 51, 55, 41, 23, 46, 89, 0], [0, 35, 38, 67, 15, 65, 69, 62, 94, 19, 101, 0], [0, 81, 80, 90, 0], [0, 52, 64, 24, 39, 79, 0], [0, 29, 33, 58, 28, 107, 72, 103, 0], [0, 25, 16, 68, 82, 86, 100, 0], [0, 5, 4, 6, 43, 57, 31, 42, 98, 2, 18, 73, 14, 17, 8, 93, 74, 0], [0, 59, 61, 13, 11, 12, 9, 10, 49, 54, 60, 97, 0], [0, 56, 53, 71, 44, 32, 87, 78, 105, 0]]","[[0, 36, 1, 37, 7, 26, 39, 76, 0], [0, 66, 34, 63, 20, 59, 87, 54, 60, 105, 0], [0, 50, 0], [0, 51, 55, 47, 21, 23, 77, 29, 79, 83, 5, 97, 89, 0], [0, 35, 38, 15, 16, 30, 65, 67, 62, 69, 80, 74, 18, 25, 14, 93, 100, 0], [0, 52, 22, 71, 64, 24, 82, 84, 92, 86, 94, 101, 103, 0], [0, 33, 11, 28, 58, 27, 41, 85, 70, 72, 95, 75, 98, 0], [0, 13, 45, 9, 44, 68, 0], [0, 4, 6, 43, 57, 31, 42, 3, 8, 17, 81, 2, 90, 91, 99, 96, 0], [0, 10, 40, 46, 61, 73, 32, 78, 0], [0, 56, 48, 12, 53, 88, 19, 102, 104, 49, 106, 107, 0]]"
8,10,30.0,823.6333333333334,599.5823713680111,53.11654223314807,619.9803941302512,10,6099.782903909683,557,402,"{'two-opt': 0, 'three-opt': 74, 'two-opt-star': 483}","[[0, 36, 37, 1, 48, 96, 102, 104, 7, 106, 99, 26, 3, 0], [0, 66, 63, 34, 84, 85, 88, 0], [0, 50, 40, 45, 21, 77, 20, 75, 91, 47, 92, 76, 95, 22, 70, 27, 83, 30, 0], [0, 51, 55, 41, 23, 46, 89, 0], [0, 35, 38, 67, 15, 65, 69, 62, 94, 19, 101, 0], [0, 81, 80, 90, 0], [0, 52, 64, 24, 39, 79, 0], [0, 29, 33, 58, 28, 107, 72, 103, 0], [0, 25, 16, 68, 82, 86, 100, 0], [0, 5, 4, 6, 43, 57, 31, 42, 98, 2, 18, 73, 14, 17, 8, 93, 74, 0], [0, 59, 61, 13, 11, 12, 9, 10, 49, 54, 60, 97, 0], [0, 56, 53, 71, 44, 32, 87, 78, 105, 0]]","[[0, 36, 37, 1, 7, 9, 3, 81, 85, 83, 51, 102, 104, 20, 70, 106, 0], [0, 25, 16, 30, 40, 63, 27, 42, 11, 21, 19, 78, 87, 0], [0, 50, 45, 23, 66, 13, 77, 67, 29, 41, 79, 100, 0], [0, 35, 38, 2, 15, 0], [0, 32, 55, 24, 68, 64, 0], [0, 33, 28, 58, 54, 60, 91, 92, 49, 101, 10, 107, 0], [0, 52, 34, 65, 69, 62, 48, 47, 76, 22, 89, 75, 94, 0], [0, 5, 4, 6, 43, 31, 57, 8, 17, 14, 18, 74, 73, 46, 86, 90, 93, 0], [0, 59, 12, 61, 53, 82, 98, 103, 95, 97, 0], [0, 56, 44, 39, 72, 80, 84, 71, 88, 96, 99, 26, 105, 0]]"
9,100,9.5,1903.6333333333334,1503.8166666666666,55.305236096807896,615.1791566072634,10,1594.9578819274902,657,626,"{'two-opt': 0, 'three-opt': 81, 'two-opt-star': 576}","[[0, 36, 37, 1, 48, 96, 102, 104, 7, 106, 99, 26, 3, 0], [0, 66, 63, 34, 84, 85, 88, 0], [0, 50, 40, 45, 21, 77, 20, 75, 91, 47, 92, 76, 95, 22, 70, 27, 83, 30, 0], [0, 51, 55, 41, 23, 46, 89, 0], [0, 35, 38, 67, 15, 65, 69, 62, 94, 19, 101, 0], [0, 81, 80, 90, 0], [0, 52, 64, 24, 39, 79, 0], [0, 29, 33, 58, 28, 107, 72, 103, 0], [0, 25, 16, 68, 82, 86, 100, 0], [0, 5, 4, 6, 43, 57, 31, 42, 98, 2, 18, 73, 14, 17, 8, 93, 74, 0], [0, 59, 61, 13, 11, 12, 9, 10, 49, 54, 60, 97, 0], [0, 56, 53, 71, 44, 32, 87, 78, 105, 0]]","[[0, 35, 38, 15, 9, 7, 61, 62, 0], [0, 3, 13, 53, 66, 64, 0], [0, 50, 40, 27, 70, 22, 75, 77, 47, 92, 91, 94, 79, 105, 106, 0], [0, 51, 55, 39, 34, 23, 8, 81, 72, 76, 4, 93, 101, 0], [0, 37, 10, 59, 65, 14, 73, 52, 12, 96, 102, 104, 0], [0, 29, 33, 36, 58, 28, 26, 46, 45, 97, 54, 90, 107, 0], [0, 25, 17, 16, 19, 24, 68, 71, 67, 69, 18, 21, 0], [0, 5, 6, 43, 42, 48, 49, 44, 74, 85, 82, 2, 20, 99, 98, 0], [0, 1, 30, 63, 41, 11, 80, 84, 86, 87, 95, 100, 0], [0, 56, 31, 57, 60, 32, 78, 83, 89, 88, 103, 0]]"
