task_type,absolute,relative
interior_cleaning,45722,52.6314577769592
stationary_charge,45217,52.05014273874205
relocation,15401,17.728381987291648
refuel,10301,11.857675660742242
exterior_cleaning,8802,10.132148448291739
front_interior_cleaning,8300,9.554286766737269
general_inspection,2564,2.9514688277005248
car_wash,2361,2.7177916935261073
shuttle,1916,2.205543788562483
washer_fluid_check,1896,2.182521410811309
mobile_charge,1693,1.9488442766368912
pickup,1521,1.7508518279767935
trailer_unload,1521,1.7508518279767935
trailer_load,1519,1.748549590201676
general_inspection_back_relocation,1478,1.701353715811769
out_of_business_area,986,1.135003223132885
unknown,800,0.9208951100469657
truck_wash,617,0.7102403536237223
battery_swap,395,0.45469196058568934
quick_check,392,0.4512386039230131
helmet_check,392,0.4512386039230131
trash_removal,392,0.4512386039230131
tire_check,288,0.33152223961690763
airport_relocation,21,0.02417349663873285
other,11,0.012662307763145777
promo,9,0.010360069988028364
found_object,9,0.010360069988028364
inter_city_relocation_ams_denh,7,0.008057832212910948
unwrap,5,0.005755594437793535
inter_city_relocation_rtm_denh,5,0.005755594437793535
task_addition,4,0.004604475550234828
unplug,4,0.004604475550234828
inter_city_relocation_ams_rtm,3,0.0034533566626761213
car_shutdown,1,0.001151118887558707
graffiti_removal,1,0.001151118887558707
quick_repair,1,0.001151118887558707
