CUST_NO,VISITED,SCHEDULED_TIME,SCHEDULED_TOUR
0,False,60.85001735373493,5.0
1,False,69.9330454368655,2.0
2,False,123.32814265350893,2.0
3,False,336.12925567082266,0.0
4,True,17.72265040780037,4.0
5,True,0.8616680889633633,4.0
6,False,186.97934768855217,2.0
7,False,314.63907246965755,0.0
8,False,58.705860413770274,4.0
9,False,130.98401457050952,1.0
10,False,157.0271149645317,1.0
11,False,178.71894716540172,1.0
12,False,200.41077936627173,1.0
13,False,226.47011065575748,1.0
14,False,140.56051879741995,2.0
15,False,50.54292998028473,3.0
16,False,102.50313996908395,3.0
17,False,76.57503768626599,4.0
18,False,159.64420868700586,2.0
19,False,76.89134050591122,3.0
20,False,236.08860502261157,0.0
21,False,209.33120591081862,0.0
22,False,293.7733625085659,0.0
23,False,311.15581024940445,1.0
24,False,383.4466877653305,1.0
25,False,124.38508652161353,3.0
26,False,63.21008045031398,1.0
27,False,354.4809335620253,0.0
28,True,17.314700044051833,1.0
29,False,88.03268964950965,1.0
30,False,377.7338414482914,0.0
31,False,98.81305547425028,4.0
32,False,32.30951212718031,0.0
33,False,38.66955633557824,1.0
34,False,83.04429461720503,0.0
35,True,10.395414235317936,3.0
36,True,17.667498007328202,2.0
37,False,36.0476639047124,2.0
38,True,29.42150157990294,3.0
39,False,400.3674809386003,1.0
40,False,105.32862829784455,0.0
41,False,263.8260202235594,1.0
42,False,105.17902862925804,1.0
43,False,37.95205339800006,4.0
44,True,9.875377472662331,0.0
45,False,155.83323130680824,0.0
46,False,330.3915554096118,1.0
47,False,262.20422128783343,0.0
48,False,99.4030097689125,2.0
49,False,8.798443837155007,5.0
50,False,31.98004855571117,5.0
51,False,,
52,False,,
53,False,,
54,False,,
55,False,,
56,False,,
57,False,,
58,False,,
59,False,,
60,False,,
61,False,,
62,False,,
63,False,,
64,False,,
65,False,,
66,False,,
67,False,,
68,False,,
69,False,,
70,False,,
71,False,,
72,False,,
73,False,,
74,False,,
75,False,,
76,False,,
77,False,,
78,False,,
79,False,,
80,False,,
81,False,,
82,False,,
83,False,,
84,False,,
85,False,,
86,False,,
87,False,,
88,False,,
89,False,,
90,False,,
91,False,,
92,False,,
93,False,,
94,False,,
95,False,,
96,False,,
97,False,,
98,False,,
99,False,,
100,False,,
101,False,,
102,False,,
103,False,,
104,False,,
105,False,,
106,False,,
107,False,,
