CUST_NO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,XCOORD_END,YCOORD_END,order_id,end_poi_id
0,13.406356,52.530458,0,0,480,0,13.406356,52.530458,order_0,order_0
1,13.304725,52.52886,10,0,480,10,13.304725,52.52886,order_fc246966-7292-4009-aab1-01e05733e6a2,order_fc246966-7292-4009-aab1-01e05733e6a2
2,13.468503,52.50969300000001,18,0,480,18,13.466975,52.507268,order_a9b9f4e6-5e57-41ed-807d-8da875736b28,stationary_charge_973
3,13.41407,52.493053,17,0,480,17,13.413611398811321,52.49350476226754,order_ae3baf2d-fccc-4a7c-b197-2acb78e952d1,stationary_charge_283
4,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_074c1f4a-1328-4ae7-9177-1dfe351cd256,refuel_225
5,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_441c2250-f2f1-4417-b4ba-3e86e3d486c2,refuel_225
6,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_a1a6f8f7-c67f-450c-8301-a44b39d2c335,refuel_225
7,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_4395f3ac-ce7a-478c-b61b-16ec309428e0,refuel_225
8,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_c3315b75-c739-4126-9052-4b7e3bbe6cef,refuel_225
9,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_97e3b6d7-1ed4-401d-a259-224508e58dbe,refuel_225
10,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_ab94829f-27b5-48f9-933c-52668c48e6f8,refuel_225
11,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_3115b938-3787-4f7d-a343-9dbcc808a848,refuel_225
12,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_3400bd0a-a356-46d6-88fd-705598daebf0,refuel_225
13,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_34b8bb2a-eb8a-48ba-a53b-5a0a7f4622c4,refuel_225
14,13.3741595,52.507928,26,0,480,26,13.3738429,52.5077436,order_96f45627-0b88-4f77-a41e-fbb1ba4626c6,stationary_charge_830
15,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_1f362d51-3738-414c-b3b1-bfe07d807238,stationary_charge_840
16,13.3741595,52.507928,26,0,480,26,13.3738429,52.5077436,order_afe446fe-f2c3-408f-a1de-f4a85daeda59,stationary_charge_830
17,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_287e392a-396a-41ba-8cd6-8df2c9f8901b,stationary_charge_840
18,13.3741595,52.507928,26,0,480,26,13.3738429,52.5077436,order_9fb3e48a-4fc5-4b13-baa1-55714aa58e40,stationary_charge_830
19,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_cf91e763-5730-4ac4-a363-00d85146c5b5,stationary_charge_840
20,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_c5fa2d3b-afc7-4f7a-9d2d-63d7439aff54,stationary_charge_840
21,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_df7717cc-3a5a-420e-a737-06627372c1f8,stationary_charge_840
22,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_10b7c1e0-4b11-4bee-a841-78aeeee3002e,stationary_charge_840
23,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_07c6135e-f4a5-41e9-b6c8-e24b56a0430d,stationary_charge_840
24,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_74181e62-dcde-4163-b173-eda27c775bc4,stationary_charge_840
25,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_769c997e-0b56-4f5f-a4d4-df2f46f18c0b,stationary_charge_840
26,13.3741595,52.507928,26,0,480,26,13.3738429,52.5077436,order_3d6e1497-02b9-43c6-8574-c90a1948bb01,stationary_charge_830
27,13.3741595,52.507928,26,0,480,26,13.3738429,52.5077436,order_b89e40c2-2a3a-4b87-83d0-330f50b05590,stationary_charge_830
28,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_f9e76162-af08-4b58-8253-cd47450e901d,stationary_charge_840
29,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_489f6f6f-6f0e-45ec-b0f7-d51003a30efc,stationary_charge_840
30,13.3741595,52.507928,26,0,480,26,13.3738429,52.5077436,order_c00a7e67-aea3-4548-a5ed-c6d2ec7ffb9a,stationary_charge_830
31,13.3741595,52.507928,26,0,480,26,13.3738429,52.5077436,order_2e2f808d-aca5-4f32-82a8-1ac64351986e,stationary_charge_830
32,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_53dea7d1-fe5f-4292-9f44-d8cfe208df57,stationary_charge_840
33,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_45a8dd7a-fe09-4f23-b74a-7ca951d2ccea,stationary_charge_840
34,13.3741595,52.507928,26,0,480,26,13.374043799999999,52.5077475,order_e1c8bf93-4ed6-48e5-aba8-47fea758837a,stationary_charge_840
35,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_b5d77ad5-71a8-46b7-a889-ba1f8d490394,refuel_225
36,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_720ca005-fe47-41b6-9121-61ada4c07aaa,refuel_225
37,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_174456b7-3a32-4c53-adc7-309d170b9d35,refuel_225
38,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_77aa405c-9cc8-43ed-b570-1465266f520e,refuel_225
39,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_52706929-fec0-4f08-9c07-df499851c8ce,refuel_225
40,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_5fe020fb-a57a-4720-a2e7-52dd4c8339e2,refuel_225
41,13.3741595,52.507928,19,0,480,19,13.3766736,52.5004782,order_a2fe7a58-00b9-4751-9876-d4f528bcdbff,refuel_225
